CITY OF POST OFFICE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
Okmulgee,111 W 4th St,Okmulgee,OK,74447,(918) 756-3747,-95.971866,35.624798,"(35.624798, -95.971866)"
Oktaha,104 E Prairie,Oktaha,OK,74450,(918) 683-2733,-95.472726,35.57647,"(35.57647, -95.472726)"
Olustee,104 E 4th St,Olustee,OK,73560,(580) 648-2301,-99.423691,34.54874,"(34.54874, -99.423691)"
Omega,100 Main St,Omega,OK,73764,(405) 729-4266,-98.171597,35.84836,"(35.84836, -98.171597)"
Oologah,150 W Coweescowee Ave,Oologah,OK,74053,(918) 443-2529,-95.706672,36.447177,"(36.447177, -95.706672)"
Orlando,100 Highway 77,Orlando,OK,73073,(580) 455-2228,-97.377199,36.152673,"(36.152673, -97.377199)"
Osage,101 S Broadway,Osage,OK,74054,(918) 354-2385,-96.415767,36.298398,"(36.298398, -96.415767)"
Overbrook,209 Highway 77 S,Overbrook,OK,73453,(580) 223-2795,-97.143356,34.06188,"(34.06188, -97.143356)"
Owasso,1233 N Cedar St,Owasso,OK,74055,(918) 274-9376,-95.851284,36.278845,"(36.278845, -95.851284)"
Paden,813 S Main St,Paden,OK,74860,(405) 932-5171,-96.567874,35.506592,"(35.506592, -96.567874)"
Panama,901 N Kentucky St,Panama,OK,74951,(918) 963-2326,-94.673415,35.176753,"(35.176753, -94.673415)"
Panola,5755 Highway 270 E,Panola,OK,74559,(918) 465-5064,-95.237439,34.92673,"(34.92673, -95.237439)"
Wardville,305 Main St,Wardville,OK,74576,(918) 874-3551,-96.030397,34.658453,"(34.658453, -96.030397)"
Warner,805 Second Ave,Warner,OK,74469,(918) 463-2410,-95.307689,35.49254,"(35.49254, -95.307689)"
Washington,214 N Main Ave,Washington,OK,73093,(405) 288-0225,-97.476983,35.147713,"(35.147713, -97.476983)"
Watonga,121 N Noble Ave,Watonga,OK,73772,(580) 623-5095,-98.4133,35.844746,"(35.844746, -98.4133)"
Watson,100 Highway 4,Watson,OK,74963,(580) 244-3424,-94.475829,34.431888,"(34.431888, -94.475829)"
Watts,601 E 6th St,Watts,OK,74964,(918) 422-5986,-94.567493,36.11017,"(36.11017, -94.567493)"
Waukomis,504 E Euclid St,Waukomis,OK,73773,(580) 758-3274,-97.894387,36.280125,"(36.280125, -97.894387)"
Waurika,121 W Broadway Ave,Waurika,OK,73573,(580) 228-2991,-98.001832,34.163781,"(34.163781, -98.001832)"
Wayne,100 S Shannon St,Wayne,OK,73095,(405) 449-3517,-97.313584,34.91917,"(34.91917, -97.313584)"
Waynoka,1620 Santa Fe St,Waynoka,OK,73860,(580) 824-2702,-98.881208,36.584382,"(36.584382, -98.881208)"
Weatherford,107 E Franklin Ave,Weatherford,OK,73096,(580) 772-2412,-98.707517,35.527285,"(35.527285, -98.707517)"
Webbers Falls,116 Commercial St,Webbers Falls,OK,74470,(918) 464-2521,-95.129414,35.51093,"(35.51093, -95.129414)"
Welch,322 S Commercial St,Welch,OK,74369,(918) 788-3623,-95.094919,36.87386,"(36.87386, -95.094919)"
Weleetka,212 W 9th St,Weleetka,OK,74880,(405) 786-2114,-96.135074,35.345655,"(35.345655, -96.135074)"
Welling,20627 S Welling Rd,Welling,OK,74471,(918) 456-5631,-94.898973,35.873579,"(35.873579, -94.898973)"
Wellston,401 2nd St,Wellston,OK,74881,(405) 356-2750,-97.06515,35.694422,"(35.694422, -97.06515)"
Westville,210 S Williams St,Westville,OK,74965,(918) 723-3231,-94.594629,35.994874,"(35.994874, -94.594629)"
Wetumka,119 N Main St,Wetumka,OK,74883,(405) 452-3391,-96.241484,35.237577,"(35.237577, -96.241484)"
Wewoka,115 W 2nd St,Wewoka,OK,74884,(405) 257-3214,-96.491896,35.157865,"(35.157865, -96.491896)"
Wheatland,6920 S Main St,Wheatland,OK,73097,(405) 745-4874,-97.651969,35.397895,"(35.397895, -97.651969)"
Whitefield,201 N Main St,Whitefield,OK,74472,(918) 967-4482,-95.237299,35.25356,"(35.25356, -95.237299)"
Whitesboro,57137 White Wood Dr,Whitesboro,OK,74577,(918) 567-2469,-94.824491,34.681519,"(34.681519, -94.824491)"
Wilburton,205 E Main St,Wilburton,OK,74578,(918) 465-2332,-95.307597,34.918928,"(34.918928, -95.307597)"
Willow,113 W Main St,Willow,OK,73673,(580) 287-3491,-99.503248,35.009469,"(35.009469, -99.503248)"
Wilson,1224 US Highway 70A,Wilson,OK,73463,(580) 668-2434,-97.427604,34.161939,"(34.161939, -97.427604)"
Wister,204 Plum St,Wister,OK,74966,(918) 655-7570,-94.724668,34.967334,"(34.967334, -94.724668)"
Woodward,2020 Williams Ave,Woodward,OK,73801,(580) 256-7138,-99.390531,36.42615,"(36.42615, -99.390531)"
Wright City,301 W 10th St,Wright City,OK,74766,(580) 981-2725,-95.002601,34.068011,"(34.068011, -95.002601)"
Wyandotte,12 N Main St,Wyandotte,OK,74370,(918) 678-2250,-94.725375,36.793868,"(36.793868, -94.725375)"
Wynnewood,115 E Robert S Kerr Blvd,Wynnewood,OK,73098,(405) 665-4235,-97.170143,34.642537,"(34.642537, -97.170143)"
Wynona,202 W 4th St,Wynona,OK,74084,(918) 846-2780,-96.328575,36.547003,"(36.547003, -96.328575)"
Yale,209 W Broadway Ave,Yale,OK,74085,(918) 387-2441,-96.702088,36.1139,"(36.1139, -96.702088)"
Yukon,900 Garth Brooks Blvd,Yukon,OK,73099,(405) 350-1474,-97.760419,35.497418,"(35.497418, -97.760419)"
Pauls Valley,120 W Paul Ave,Pauls Valley,OK,73075,(405) 238-3268,-97.219877,34.740391,"(34.740391, -97.219877)"
Pawhuska,137 E 6th St,Pawhuska,OK,74056,(918) 287-4482,-96.339034,36.664556,"(36.664556, -96.339034)"
Pawnee,658 Illinois St,Pawnee,OK,74058,(918) 762-3266,-96.804964,36.339256,"(36.339256, -96.804964)"
Peggs,6580 N Sylvan St,Peggs,OK,74452,(918) 598-3212,-95.046953,36.103248,"(36.103248, -95.046953)"
Paoli,307 S Oklahoma St,Paoli,OK,73074,(405) 484-7374,-97.259339,34.82386,"(34.82386, -97.259339)"
Park Hill,21286 S Keeler Dr,Park Hill,OK,74451,(918) 456-0980,-94.958454,35.866929,"(35.866929, -94.958454)"
Perkins,114 W Stumbo Ave,Perkins,OK,74059,(405) 547-2922,-97.033945,35.972917,"(35.972917, -97.033945)"
Perry,326 N 7th St,Perry,OK,73077,(580) 336-2504,-97.288065,36.286454,"(36.286454, -97.288065)"
Picher,100 S Connell Ave,Picher,OK,74360,(918) 673-1029,-94.83098,36.985188,"(36.985188, -94.83098)"
Pickens,100 Main St,Pickens,OK,74752,(580) 241-5285,-95.004799,34.39361,"(34.39361, -95.004799)"
Piedmont,112 Jackson Ave NW,Piedmont,OK,73078,(405) 373-0251,-97.746691,35.643259,"(35.643259, -97.746691)"
Pittsburg,500 E Broadway St,Pittsburg,OK,74560,(918) 432-5293,-95.849826,34.713987,"(34.713987, -95.849826)"
Platter,313 2nd St,Platter,OK,74753,(580) 965-4781,-96.535484,33.909435,"(33.909435, -96.535484)"
Pocasset,130 Main St,Pocasset,OK,73079,(405) 459-6767,-97.952978,35.196141,"(35.196141, -97.952978)"
Pocola,101 E Victor Ln,Pocola,OK,74902,(918) 436-2780,-94.477708,35.255753,"(35.255753, -94.477708)"
Ponca City,402 E Grand Ave,Ponca City,OK,74601,(580) 762-2485,-97.079709,36.703516,"(36.703516, -97.079709)"
Pond Creek,104 W Broadway St,Pond Creek,OK,73766,(580) 532-6338,-97.799985,36.66955,"(36.66955, -97.799985)"
Porter,300 Main St,Porter,OK,74454,(918) 483-0401,-95.522536,35.867755,"(35.867755, -95.522536)"
Porum,105 Seminole St,Porum,OK,74455,(918) 484-5537,-95.260294,35.3588,"(35.3588, -95.260294)"
Poteau,115 N Witte St,Poteau,OK,74953,(918) 647-3410,-94.621573,35.052449,"(35.052449, -94.621573)"
Prague,901 Klabzuba Ave,Prague,OK,74864,(405) 567-3723,-96.684707,35.485662,"(35.485662, -96.684707)"
Preston,10040 Polk Ave,Preston,OK,74456,(918) 756-1878,-95.990509,35.70973,"(35.70973, -95.990509)"
Proctor,100 Highway 62,Proctor,OK,74457,(918) 723-5828,-94.765369,35.966036,"(35.966036, -94.765369)"
Prue,507 Main St,Prue,OK,74060,(918) 242-3220,-96.270071,36.255636,"(36.255636, -96.270071)"
Pryor,111 S Adair St,Pryor,OK,74361,(918) 825-0912,-95.317729,36.305498,"(36.305498, -95.317729)"
Purcell,228 W Main St,Purcell,OK,73080,(405) 527-3080,-97.361577,35.012105,"(35.012105, -97.361577)"
Putnam,102 N Main St,Putnam,OK,73659,(580) 582-6262,-98.968903,35.849566,"(35.849566, -98.968903)"
Quapaw,601 Main St,Quapaw,OK,74363,(918) 674-2511,-94.788023,36.950842,"(36.950842, -94.788023)"
Wainwright,103 Main St,Wainwright,OK,74468,(918) 474-3214,-95.564829,35.614445,"(35.614445, -95.564829)"
Wakita,121 E Main,Wakita,OK,73771,(580) 594-2902,-97.921557,36.883188,"(36.883188, -97.921557)"
Walters,130 W Colorado St,Walters,OK,73572,(580) 875-3339,-98.309755,34.357852,"(34.357852, -98.309755)"
Dill City,606 S McDonald St,Dill City,OK,73641,(580) 674-3313,-99.129705,35.277723,"(35.277723, -99.129705)"
Disney,303 E Main St,Disney,OK,74340,(918) 435-4247,-95.019013,36.479354,"(36.479354, -95.019013)"
Dougherty,100 E Main St,Dougherty,OK,73032,(580) 993-2040,-97.054109,34.40086,"(34.40086, -97.054109)"
Douglas,419 Diener,Douglas,OK,73733,(580) 862-7223,-97.667946,36.260405,"(36.260405, -97.667946)"
Dover,120 N Chisholm Trail,Dover,OK,73734,(405) 828-4636,-97.911556,35.981295,"(35.981295, -97.911556)"
Drummond,319 Main St,Drummond,OK,73735,(580) 493-2290,-98.036495,36.300999,"(36.300999, -98.036495)"
Drumright,118 N Ohio Ave,Drumright,OK,74030,(918) 352-3694,-96.599364,35.988813,"(35.988813, -96.599364)"
Duke,106 E 2nd St,Duke,OK,73532,(580) 679-3562,-99.570133,34.661296,"(34.661296, -99.570133)"
Duncan,802 W Willow Ave,Duncan,OK,73533,(580) 255-7226,-97.957142,34.500607,"(34.500607, -97.957142)"
Durant,1223 W Main St,Durant,OK,74701,(580) 924-6464,-96.389268,33.99387,"(33.99387, -96.389268)"
Durham,1 E Main St,Durham,OK,73642,(580) 983-2281,-99.925314,35.820351,"(35.820351, -99.925314)"
Dustin,127 N Broadway St,Dustin,OK,74839,(918) 656-3285,-96.030784,35.26762,"(35.26762, -96.030784)"
Eagletown,104 E Highway 70,Eagletown,OK,74734,(580) 835-2559,-94.584889,34.04507,"(34.04507, -94.584889)"
Eakly,400 W Main St,Eakly,OK,73033,(405) 797-3353,-98.556819,35.30513,"(35.30513, -98.556819)"
Earlsboro,220 W Main St,Earlsboro,OK,74840,(405) 997-5327,-96.805219,35.26791,"(35.26791, -96.805219)"
Edmond,407 W Covell Rd,Edmond,OK,73003,(405) 844-0583,-97.492902,35.682087,"(35.682087, -97.492902)"
Edmond,801 W 33rd St,Edmond,OK,73013,(405) 348-9104,-97.494929,35.623711,"(35.623711, -97.494929)"
El Reno,203 N Evans Ave,El Reno,OK,73036,(405) 262-5095,-97.956157,35.534214,"(35.534214, -97.956157)"
Eldorado,116 N 4th St,Eldorado,OK,73537,(580) 633-2528,-99.648669,34.4672,"(34.4672, -99.648669)"
Elgin,8292 State Highway 17,Elgin,OK,73538,(580) 492-4795,-98.290158,34.782611,"(34.782611, -98.290158)"
Elk City,101 S Adams Ave,Elk City,OK,73644,(580) 225-0294,-99.407582,35.410566,"(35.410566, -99.407582)"
Elmer,717 Main St,Elmer,OK,73539,(580) 687-4460,-99.346883,34.478737,"(34.478737, -99.346883)"
Elmore City,204 S Main St,Elmore City,OK,73433,(580) 788-2597,-97.39641,34.621959,"(34.621959, -97.39641)"
Enid,115 W Broadway Ave,Enid,OK,73701,(580) 237-4331,-97.878688,36.396508,"(36.396508, -97.878688)"
Erick,119 W 3rd St,Erick,OK,73645,(580) 526-3254,-99.867648,35.214027,"(35.214027, -99.867648)"
Eucha,101 Main St,Eucha,OK,74342,(918) 253-4956,-94.934681,36.4713,"(36.4713, -94.934681)"
Eufaula,131 W Foley St,Eufaula,OK,74432,(918) 689-2622,-95.582956,35.286433,"(35.286433, -95.582956)"
Fairfax,151 E Elm St,Fairfax,OK,74637,(918) 642-3254,-96.703592,36.573538,"(36.573538, -96.703592)"
Fairland,121 N Oliver,Fairland,OK,74343,(918) 676-3831,-94.853415,36.749857,"(36.749857, -94.853415)"
Fairmont,620 Main St,Fairmont,OK,73736,(580) 358-2289,-97.706701,36.356044,"(36.356044, -97.706701)"
Fairview,115 W Broadway,Fairview,OK,73737,(580) 227-4838,-98.480183,36.268918,"(36.268918, -98.480183)"
Fanshawe,201 Main St,Fanshawe,OK,74935,(918) 659-2259,-94.986246,34.898051,"(34.898051, -94.986246)"
Fargo,218 S Main St,Fargo,OK,73840,(580) 698-2450,-99.623304,36.374879,"(36.374879, -99.623304)"
Faxon,501 D St,Faxon,OK,73540,(580) 597-6648,-98.561518,34.469638,"(34.469638, -98.561518)"
Fay,120 N Custer St,Fay,OK,73646,(580) 887-3426,-98.66775,35.83424,"(35.83424, -98.66775)"
Felt,101 Lincoln St,Felt,OK,73937,(580) 426-2280,-102.794208,36.566999,"(36.566999, -102.794208)"
Finley,300 Main St,Finley,OK,74543,(580) 298-2019,-95.52473,34.313631,"(34.313631, -95.52473)"
Fittstown,101 US Highway 377,Fittstown,OK,74842,(580) 777-2288,-96.634644,34.55618,"(34.55618, -96.634644)"
Fitzhugh,100 E Lee St,Fitzhugh,OK,74843,(580) 436-1425,-96.774685,34.668032,"(34.668032, -96.774685)"
Fort Gibson,201 W Poplar St,Fort Gibson,OK,74434,(918) 478-2181,-95.251362,35.796992,"(35.796992, -95.251362)"
Fletcher,103 N Selby St,Fletcher,OK,73541,(580) 549-6257,-98.24489,34.823236,"(34.823236, -98.24489)"
Forgan,115 S Broadway St,Forgan,OK,73938,(580) 487-3722,-100.535629,36.907157,"(36.907157, -100.535629)"
Fort Sill,6605 NW Fort Sill Blvd,Fort Sill,OK,73503,(580) 355-7738,-98.403017,34.673134,"(34.673134, -98.403017)"
Fort Supply,229 Broadway St,Fort Supply,OK,73841,(580) 766-3781,-99.571118,36.573571,"(36.573571, -99.571118)"
Fort Towson,100 Main St,Fort Towson,OK,74735,(580) 873-2218,-95.202249,34.01961,"(34.01961, -95.202249)"
Foss,202 E Broadway St,Foss,OK,73647,(580) 592-4733,-99.170349,35.456572,"(35.456572, -99.170349)"
Foster,200 Highway 29a,Foster,OK,73434,(580) 432-5598,-97.489299,34.617208,"(34.617208, -97.489299)"
Fox,20378 State Highway 76,Fox,OK,73435,(580) 673-2022,-97.492939,34.36406,"(34.36406, -97.492939)"
Foyil,100 E 3rd St,Foyil,OK,74031,(918) 341-6229,-95.521889,36.43361,"(36.43361, -95.521889)"
Francis,231 W Main St,Francis,OK,74844,(580) 436-3017,-96.599566,34.873615,"(34.873615, -96.599566)"
Frederick,120 E Grand Ave,Frederick,OK,73542,(580) 335-3021,-99.016678,34.389471,"(34.389471, -99.016678)"
Freedom,448 4th St,Freedom,OK,73842,(580) 621-3501,-99.160296,36.84135,"(36.84135, -99.160296)"
Gage,403 N Main St,Gage,OK,73843,(580) 923-7446,-99.755979,36.31813,"(36.31813, -99.755979)"
Gans,100 S Stacy Ave,Gans,OK,74936,(918) 775-4982,-94.678639,35.403405,"(35.403405, -94.678639)"
Garber,104 Main St,Garber,OK,73738,(580) 863-2250,-97.581969,36.441548,"(36.441548, -97.581969)"
Garvin,10 N Love St,Garvin,OK,74736,(580) 286-3103,-94.940604,33.955505,"(33.955505, -94.940604)"
Gate,102 E Main St,Gate,OK,73844,(580) 934-2651,-100.058409,36.853375,"(36.853375, -100.058409)"
Geary,120 NW 1st St,Geary,OK,73040,(405) 884-2771,-98.317761,35.631983,"(35.631983, -98.317761)"
Gene Autry,45 Prairie St,Gene Autry,OK,73436,(580) 294-3111,-97.041405,34.282852,"(34.282852, -97.041405)"
Geronimo,200 Main St,Geronimo,OK,73543,(580) 353-0173,-98.390107,34.480825,"(34.480825, -98.390107)"
Glenpool,14169 S Broadway St,Glenpool,OK,74033,(918) 322-3273,-96.007886,35.958627,"(35.958627, -96.007886)"
Golden,100 Line St,Golden,OK,74737,(580) 420-6505,-94.897161,34.032788,"(34.032788, -94.897161)"
Goodwell,105 S Main St,Goodwell,OK,73939,(580) 349-2490,-101.632593,36.593684,"(36.593684, -101.632593)"
Gore,402 N Main St,Gore,OK,74435,(918) 489-5603,-95.115221,35.5315,"(35.5315, -95.115221)"
Countyline,1 W Main St,Countyline,OK,73425,(580) 856-3425,-97.569434,34.44799,"(34.44799, -97.569434)"
Covington,316 W Main St,Covington,OK,73730,(580) 864-7449,-97.589167,36.306004,"(36.306004, -97.589167)"
Coweta,215 W Sycamore St,Coweta,OK,74429,(918) 486-5634,-95.652081,35.951082,"(35.951082, -95.652081)"
Coyle,208 E Main St,Coyle,OK,73027,(405) 466-2265,-97.234271,35.956673,"(35.956673, -97.234271)"
Crawford,1 E Crawford Rd,Crawford,OK,73638,(580) 983-2203,-99.818223,35.85225,"(35.85225, -99.818223)"
Crescent,115 N Grand St,Crescent,OK,73028,(405) 969-3314,-97.595637,35.952797,"(35.952797, -97.595637)"
Cromwell,104 N Shawnee Ave,Cromwell,OK,74837,(405) 944-5505,-96.458883,35.340687,"(35.340687, -96.458883)"
Crowder,100 N B St,Crowder,OK,74430,(918) 334-3701,-95.67486,35.123815,"(35.123815, -95.67486)"
Cushing,116 S Cleveland Ave,Cushing,OK,74023,(918) 225-4665,-96.77252,35.979767,"(35.979767, -96.77252)"
Connerville,7121 N Highway 377,Connerville,OK,74836,(580) 836-7911,-96.634979,34.44846,"(34.44846, -96.634979)"
Cookson,32094 Highway 82,Cookson,OK,74427,(918) 457-5471,-94.918357,35.709403,"(35.709403, -94.918357)"
Copan,207 S Caney St,Copan,OK,74022,(918) 532-4385,-95.926143,36.896246,"(36.896246, -95.926143)"
Cordell,121 E 1st St,Cordell,OK,73632,(580) 832-2494,-98.989889,35.292477,"(35.292477, -98.989889)"
Corn,208 W Main St,Corn,OK,73024,(580) 343-2311,-98.784095,35.377831,"(35.377831, -98.784095)"
Council Hill,115 S Broadway St,Council Hill,OK,74428,(918) 474-3282,-95.651429,35.55608,"(35.55608, -95.651429)"
Howe,21525 W Main St,Howe,OK,74940,(918) 658-3415,-94.639632,34.949942,"(34.949942, -94.639632)"
Hugo,207 N 4th St,Hugo,OK,74743,(580) 326-6696,-95.5088,34.010917,"(34.010917, -95.5088)"
Hulbert,402 E Main St,Hulbert,OK,74441,(918) 772-2522,-95.139431,35.932649,"(35.932649, -95.139431)"
Hunter,126 N Maine St,Hunter,OK,74640,(580) 684-7723,-97.661415,36.564787,"(36.564787, -97.661415)"
Hydro,221 W Main St,Hydro,OK,73048,(405) 663-2577,-98.581301,35.549625,"(35.549625, -98.581301)"
Idabel,201 N Central Ave,Idabel,OK,74745,(580) 286-2149,-94.828619,33.895971,"(33.895971, -94.828619)"
Indiahoma,308 Main St,Indiahoma,OK,73552,(580) 246-3351,-98.751384,34.619616,"(34.619616, -98.751384)"
Indianola,212 Main St,Indianola,OK,74442,(918) 823-4514,-95.769269,35.11599,"(35.11599, -95.769269)"
Inola,25 2nd St SW,Inola,OK,74036,(918) 543-4923,-95.507885,36.148967,"(36.148967, -95.507885)"
Isabella,130 W Main St,Isabella,OK,73747,(580) 822-3492,-98.326401,36.231686,"(36.231686, -98.326401)"
Jay,409 S 6th St,Jay,OK,74346,(918) 253-4988,-94.798826,36.419967,"(36.419967, -94.798826)"
Jenks,217 E Main St,Jenks,OK,74037,(918) 299-8008,-95.968069,36.022756,"(36.022756, -95.968069)"
Jenks,303 E A St,Jenks,OK,74037,(918) 296-0893,-95.966973,36.023669,"(36.023669, -95.966973)"
Jennings,718 N Main,Jennings,OK,74038,(918) 757-2296,-96.570011,36.184739,"(36.184739, -96.570011)"
Jet,418 Main St,Jet,OK,73749,(580) 626-4567,-98.179928,36.666133,"(36.666133, -98.179928)"
Jones,120 E Main St,Jones,OK,73049,(405) 399-4598,-97.286007,35.565545,"(35.565545, -97.286007)"
Commerce,301 Commerce St,Commerce,OK,74339,(918) 675-4617,-94.874088,36.933307,"(36.933307, -94.874088)"
Concho,400 N Lefthand Ave,Concho,OK,73022,(405) 262-2786,-97.959229,35.61422,"(35.61422, -97.959229)"
Kansas,491 W Main St,Kansas,OK,74347,(918) 868-2759,-94.803686,36.209066,"(36.209066, -94.803686)"
Kaw City,701 Morgan Sq,Kaw City,OK,74641,(580) 269-2914,-96.859886,36.765804,"(36.765804, -96.859886)"
Kellyville,218 E Buffalo,Kellyville,OK,74039,(918) 247-6344,-96.214283,35.943543,"(35.943543, -96.214283)"
Kenefic,117 Mary St,Kenefic,OK,74748,(580) 367-2428,-96.362787,34.143775,"(34.143775, -96.362787)"
Kenton,100 S Newbert,Kenton,OK,73946,(405) 261-7474,-102.962061,36.902137,"(36.902137, -102.962061)"
Keota,300 W Main St,Keota,OK,74941,(918) 966-3979,-94.918119,35.25795,"(35.25795, -94.918119)"
Ketchum,435 N Main,Ketchum,OK,74349,(918) 782-2160,-95.026609,36.524595,"(36.524595, -95.026609)"
Keyes,101 E Ramsey Ave,Keyes,OK,73947,(580) 546-7331,-102.2518,36.805887,"(36.805887, -102.2518)"
Kiefer,418 E Indian,Kiefer,OK,74041,(918) 321-9509,-96.059117,35.944514,"(35.944514, -96.059117)"
Kingfisher,214 S Main St,Kingfisher,OK,73750,(405) 375-6686,-97.932794,35.859593,"(35.859593, -97.932794)"
Kingston,101 N Main St,Kingston,OK,73439,(580) 564-3325,-96.719516,33.999432,"(33.999432, -96.719516)"
Kinta,301 W Broadway St,Kinta,OK,74552,(918) 768-3554,-95.236394,35.116105,"(35.116105, -95.236394)"
Kiowa,209 S Harrison Ave,Kiowa,OK,74553,(918) 432-5441,-95.903909,34.72634,"(34.72634, -95.903909)"
Konawa,100 S Broadway St,Konawa,OK,74849,(580) 925-3656,-96.751968,34.957202,"(34.957202, -96.751968)"
Krebs,40 S Main St,Krebs,OK,74554,(918) 423-6044,-95.776159,34.89993,"(34.89993, -95.776159)"
Kremlin,3415 E Keowee Rd,Kremlin,OK,73753,(580) 874-2228,-97.830483,36.550041,"(36.550041, -97.830483)"
Lahoma,535 Main St,Lahoma,OK,73754,(580) 796-2290,-98.089229,36.388718,"(36.388718, -98.089229)"
Lamar,201 Jefferson St,Lamar,OK,74850,(405) 379-2029,-96.132549,35.09955,"(35.09955, -96.132549)"
Lamont,102 N Main St,Lamont,OK,74643,(580) 388-6698,-97.557009,36.690846,"(36.690846, -97.557009)"
Lane,1020 E Highway 3,Lane,OK,74555,(580) 889-3861,-95.979007,34.294857,"(34.294857, -95.979007)"
Langley,213 S 3rd St,Langley,OK,74350,(918) 782-9383,-95.048632,36.464632,"(36.464632, -95.048632)"
Langston,100 Wiley Jones St,Langston,OK,73050,(405) 466-2447,-97.252046,35.946233,"(35.946233, -97.252046)"
Laverne,206 W Jane Jayroe Blvd,Laverne,OK,73848,(580) 921-5522,-99.914029,36.709565,"(36.709565, -99.914029)"
Lawton,501 SW 5th St,Lawton,OK,73501,(580) 353-1500,-98.395256,34.602816,"(34.602816, -98.395256)"
Lawton,2310 E Gore Blvd,Lawton,OK,73501,(580) 357-7113,-98.360504,34.608943,"(34.608943, -98.360504)"
Lawton,2800 W Gore Blvd,Lawton,OK,73505,(580) 581-2378,-98.433829,34.608846,"(34.608846, -98.433829)"
Lawton,4510 SE Lee Blvd,Lawton,OK,73501,(580) 248-0811,-98.334491,34.594492,"(34.594492, -98.334491)"
Lawton,6601 W Gore Blvd,Lawton,OK,73505,(580) 536-3526,-98.473314,34.609153,"(34.609153, -98.473314)"
Lebanon,442 Highway 32,Lebanon,OK,73440,(580) 795-2935,-96.909814,33.983489,"(33.983489, -96.909814)"
Leedey,515 S Main St,Leedey,OK,73654,(580) 488-2925,-99.347279,35.86791,"(35.86791, -99.347279)"
LeFlore,130 State St,LeFlore,OK,74942,(918) 753-2383,-94.981304,34.8975,"(34.8975, -94.981304)"
Lehigh,105 N Highway 75,Lehigh,OK,74556,(580) 927-2424,-96.218159,34.479625,"(34.479625, -96.218159)"
Lenapah,500 Shawnee,Lenapah,OK,74042,(918) 468-2470,-95.636488,36.846297,"(36.846297, -95.636488)"
Leon,25 E 5th St,Leon,OK,73441,(580) 276-5646,-97.428689,33.87908,"(33.87908, -97.428689)"
Leonard,15801 E 167th St So,Leonard,OK,74043,(918) 366-8899,-95.785979,35.91652,"(35.91652, -95.785979)"
Lequire,104 W Front St,Lequire,OK,74943,(918) 967-4201,-95.105921,35.104708,"(35.104708, -95.105921)"
