CITY OF POST OFFICE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
Lexington,115 NE 2nd St,Lexington,OK,73051,(405) 527-2003,-97.332715,35.015188,"(35.015188, -97.332715)"
Lindsay,426 S Main St,Lindsay,OK,73052,(405) 756-2239,-97.602926,34.833194,"(34.833194, -97.602926)"
Loco,115 W 2nd St,Loco,OK,73442,(580) 537-2382,-97.680579,34.32911,"(34.32911, -97.680579)"
Locust Grove,700 Elora St,Locust Grove,OK,74352,(918) 479-5693,-95.159553,36.200815,"(36.200815, -95.159553)"
Lone Grove,25 Heritage St,Lone Grove,OK,73443,(580) 657-4730,-97.247975,34.172402,"(34.172402, -97.247975)"
Lone Wolf,1024 Main St,Lone Wolf,OK,73655,(580) 846-5530,-99.248449,34.989406,"(34.989406, -99.248449)"
Longdale,500 Ken Miller Blvd,Longdale,OK,73755,(580) 274-3240,-98.547671,36.13738,"(36.13738, -98.547671)"
Lookeba,201 W Wichita St,Lookeba,OK,73053,(405) 457-6651,-98.385755,35.363024,"(35.363024, -98.385755)"
Loyal,102 E Main St,Loyal,OK,73756,(405) 729-4290,-98.121054,35.973165,"(35.973165, -98.121054)"
Lucien,620 SW 3rd St,Lucien,OK,73757,(580) 336-3234,-97.454857,36.274512,"(36.274512, -97.454857)"
Luther,506 S Ash,Luther,OK,73054,(405) 277-3292,-97.194543,35.658209,"(35.658209, -97.194543)"
Macomb,36654 Second St,Macomb,OK,74852,(405) 598-5078,-97.008454,35.146255,"(35.146255, -97.008454)"
Madill,223 W Lillie Blvd,Madill,OK,73446,(580) 795-2212,-96.772231,34.090318,"(34.090318, -96.772231)"
Manchester,200 Main St,Manchester,OK,73758,(580) 694-2319,-98.03109,36.994099,"(36.994099, -98.03109)"
Mangum,101 S Pennsylvania Ave,Mangum,OK,73554,(580) 782-2306,-99.504489,34.87352,"(34.87352, -99.504489)"
Manitou,300 Highway 183,Manitou,OK,73555,(580) 397-2451,-98.983164,34.510999,"(34.510999, -98.983164)"
Mannford,165 Coonrod Ave,Mannford,OK,74044,(918) 865-4835,-96.356842,36.126195,"(36.126195, -96.356842)"
Mannsville,101 N 20th St,Mannsville,OK,73447,(580) 371-2024,-96.882389,34.189355,"(34.189355, -96.882389)"
Maramec,420 2nd St,Maramec,OK,74045,(918) 454-2267,-96.680739,36.24196,"(36.24196, -96.680739)"
Marble City,105 N Main St,Marble City,OK,74945,(918) 775-7180,-94.820812,35.586437,"(35.586437, -94.820812)"
Marietta,118 W Main St,Marietta,OK,73448,(580) 276-3122,-97.117144,33.937317,"(33.937317, -97.117144)"
Marland,375 N Main St,Marland,OK,74644,(580) 268-3249,-97.150968,36.560648,"(36.560648, -97.150968)"
Marlow,324 W Main St,Marlow,OK,73055,(580) 658-5162,-97.958257,34.647558,"(34.647558, -97.958257)"
Marshall,221 E Main St,Marshall,OK,73056,(580) 935-6847,-97.627928,36.153708,"(36.153708, -97.627928)"
Martha,106 E Church St,Martha,OK,73556,(580) 266-3311,-99.384301,34.724972,"(34.724972, -99.384301)"
Maud,201 W Main St,Maud,OK,74854,(405) 374-2767,-96.778139,35.13124,"(35.13124, -96.778139)"
May,201 Highway 270,May,OK,73851,(580) 689-2322,-99.751799,36.614722,"(36.614722, -99.751799)"
Maysville,622 Main St,Maysville,OK,73057,(405) 867-5350,-97.409569,34.8179,"(34.8179, -97.409569)"
Quinton,911 E Main St,Quinton,OK,74561,(918) 469-2686,-95.366644,35.123351,"(35.123351, -95.366644)"
Ralston,509 Main St,Ralston,OK,74650,(918) 738-4310,-96.730843,36.503843,"(36.503843, -96.730843)"
Ramona,585 Wyandotte Ave,Ramona,OK,74061,(918) 536-4455,-95.926055,36.532283,"(36.532283, -95.926055)"
Randlett,101 S 6th St,Randlett,OK,73562,(580) 281-3471,-98.462364,34.17681,"(34.17681, -98.462364)"
Ratliff City,57 Church St,Ratliff City,OK,73481,(580) 856-3484,-97.516583,34.447949,"(34.447949, -97.516583)"
Rattan,200 Highway 3,Rattan,OK,74562,(580) 587-2337,-95.411799,34.2004,"(34.2004, -95.411799)"
Ravia,312 E Grand St,Ravia,OK,73455,(580) 371-3966,-96.756582,34.240681,"(34.240681, -96.756582)"
Red Oak,100 NE Division St,Red Oak,OK,74563,(918) 754-2614,-95.074824,34.95182,"(34.95182, -95.074824)"
Red Rock,500 Mckinley St,Red Rock,OK,74651,(580) 723-4292,-97.177269,36.46053,"(36.46053, -97.177269)"
Redbird,103 N Main St,Redbird,OK,74458,(918) 483-3761,-95.588879,35.89012,"(35.89012, -95.588879)"
Rentiesville,200 Mcintosh St,Rentiesville,OK,74459,(918) 473-5675,-95.496774,35.523586,"(35.523586, -95.496774)"
Reydon,150 2nd St,Reydon,OK,73660,(580) 655-4595,-99.924439,35.65371,"(35.65371, -99.924439)"
Ringling,105 N 4th St,Ringling,OK,73456,(580) 662-2103,-97.593718,34.178277,"(34.178277, -97.593718)"
Ringold,100 Highway 3,Ringold,OK,74754,(580) 981-2275,-95.038101,34.158564,"(34.158564, -95.038101)"
Ringwood,124 S Main St,Ringwood,OK,73768,(580) 883-2290,-98.244934,36.39046,"(36.39046, -98.244934)"
Ripley,107 E Main St,Ripley,OK,74062,(918) 372-4540,-96.905585,36.018935,"(36.018935, -96.905585)"
Rocky,313 S Main St,Rocky,OK,73661,(580) 666-2468,-99.060674,35.15678,"(35.15678, -99.060674)"
Roff,204 W Main St,Roff,OK,74865,(580) 456-7661,-96.842234,34.627217,"(34.627217, -96.842234)"
Roland,103 Davis Ln,Roland,OK,74954,(918) 427-3032,-94.511551,35.410064,"(35.410064, -94.511551)"
Roosevelt,526 S Main St,Roosevelt,OK,73564,(580) 639-2466,-99.021754,34.850593,"(34.850593, -99.021754)"
Rosston,215 7th St,Rosston,OK,73855,(580) 921-5326,-99.928197,36.81205,"(36.81205, -99.928197)"
Rufe,100 Main St,Rufe,OK,74755,(580) 876-3224,-95.144915,34.127439,"(34.127439, -95.144915)"
Rush Springs,315 W Blakely St,Rush Springs,OK,73082,(580) 476-3897,-97.956566,34.782882,"(34.782882, -97.956566)"
Ryan,1114 5th St,Ryan,OK,73565,(580) 757-2238,-97.958113,34.019749,"(34.019749, -97.958113)"
S Coffeyville,501 Willow St,S Coffeyville,OK,74072,(918) 255-6344,-95.620363,36.994577,"(36.994577, -95.620363)"
Saint Louis,34000 Rock Creek Rd,Saint Louis,OK,74866,(405) 289-3300,-96.859119,35.072349,"(35.072349, -96.859119)"
Salina,200 S Cherokee St,Salina,OK,74365,(918) 434-2520,-95.153173,36.29233,"(36.29233, -95.153173)"
Sallisaw,111 S McGee Dr,Sallisaw,OK,74955,(918) 775-6578,-94.770218,35.458247,"(35.458247, -94.770218)"
Sand Springs,114 W 2nd St,Sand Springs,OK,74063,(918) 245-1832,-96.111799,36.138293,"(36.138293, -96.111799)"
Sapulpa,410 S Main St,Sapulpa,OK,74066,(918) 224-3527,-96.114166,35.993958,"(35.993958, -96.114166)"
Sasakwa,1 Olive St,Sasakwa,OK,74867,(405) 941-3679,-96.525735,34.947224,"(34.947224, -96.525735)"
Savanna,1 S Main St,Savanna,OK,74565,(918) 548-3771,-95.841569,34.82781,"(34.82781, -95.841569)"
Sawyer,100 Dam Access,Sawyer,OK,74756,(580) 326-2747,-95.362676,34.033761,"(34.033761, -95.362676)"
Seiling,209 N Walnut St,Seiling,OK,73663,(580) 922-3304,-98.923279,36.15291,"(36.15291, -98.923279)"
Sayre,201 N 4th St,Sayre,OK,73662,(580) 928-3489,-99.640054,35.292469,"(35.292469, -99.640054)"
Schulter,100 E 8th St,Schulter,OK,74460,(918) 650-9165,-95.955719,35.51252,"(35.51252, -95.955719)"
Seminole,120 E Oak Ave,Seminole,OK,74868,(405) 382-0152,-96.670727,35.225665,"(35.225665, -96.670727)"
Seminole,Oak & 2nd,Seminole,OK,74868,(405) 382-0152,-96.669819,35.2255,"(35.2255, -96.669819)"
Sentinel,312 E Main St,Sentinel,OK,73664,(580) 393-2234,-99.17556,35.158145,"(35.158145, -99.17556)"
Shady Point,23067 Wheelus St,Shady Point,OK,74956,(918) 963-4180,-94.665708,35.13087,"(35.13087, -94.665708)"
Shamrock,108 E Tipperary Rd,Shamrock,OK,74068,(918) 352-9628,-96.577851,35.910767,"(35.910767, -96.577851)"
Sharon,114 N Main St,Sharon,OK,73857,(580) 866-3346,-99.339385,36.274224,"(36.274224, -99.339385)"
Shattuck,507 S Main St,Shattuck,OK,73858,(580) 938-2355,-99.881724,36.271961,"(36.271961, -99.881724)"
Shawnee,116 E 9th St,Shawnee,OK,74801,(405) 878-0184,-96.921882,35.328885,"(35.328885, -96.921882)"
Shidler,301 S Cosdon St,Shidler,OK,74652,(918) 793-4641,-96.671354,36.82547,"(36.82547, -96.671354)"
Skiatook,303 E 2nd St,Skiatook,OK,74070,(918) 396-2495,-95.998652,36.369597,"(36.369597, -95.998652)"
Slick,104 N Columbia,Slick,OK,74071,(918) 367-2401,-96.266819,35.776754,"(35.776754, -96.266819)"
Smithville,200 Highway 4,Smithville,OK,74957,(580) 244-3330,-94.644989,34.467025,"(34.467025, -94.644989)"
Snow,100 Hwy 271,Snow,OK,74567,(580) 298-2875,-95.321998,34.461032,"(34.461032, -95.321998)"
Snyder,401 7th St,Snyder,OK,73566,(580) 569-2209,-98.953039,34.658954,"(34.658954, -98.953039)"
Soper,300 Paris Ave,Soper,OK,74759,(580) 345-2600,-95.697699,34.03401,"(34.03401, -95.697699)"
Southard,300 Highway 51A,Southard,OK,73770,(580) 822-3483,-98.480249,36.059817,"(36.059817, -98.480249)"
Sparks,316 Broadway St,Sparks,OK,74869,(918) 866-2271,-96.821763,35.611616,"(35.611616, -96.821763)"
Spavinaw,125 N Main St,Spavinaw,OK,74366,(918) 589-2217,-95.047001,36.391478,"(36.391478, -95.047001)"
Spencer,3601 Spencer Rd,Spencer,OK,73084,(405) 771-4867,-97.379887,35.50673,"(35.50673, -97.379887)"
Spencerville,101 Spencerville Rd,Spencerville,OK,74760,(580) 326-2959,-95.382561,34.1352,"(34.1352, -95.382561)"
Sperry,117 N Cincinnati Ave,Sperry,OK,74073,(918) 288-6289,-95.991484,36.297606,"(36.297606, -95.991484)"
Spiro,123 N Main St,Spiro,OK,74959,(918) 962-3247,-94.621294,35.241355,"(35.241355, -94.621294)"
Springer,16625 US Highway 77,Springer,OK,73458,(580) 653-2741,-97.143084,34.312182,"(34.312182, -97.143084)"
Sterling,210 W Main St,Sterling,OK,73567,(580) 365-4320,-98.170909,34.750092,"(34.750092, -98.170909)"
Stigler,120 N Broadway St,Stigler,OK,74462,(918) 967-8873,-95.125358,35.254414,"(35.254414, -95.125358)"
Stillwater,809 S Lewis St,Stillwater,OK,74074,(405) 377-3867,-97.057066,36.113302,"(36.113302, -97.057066)"
Stilwell,16 S 2nd St,Stilwell,OK,74960,(918) 696-7173,-94.628639,35.81433,"(35.81433, -94.628639)"
Stonewall,124 W Main St,Stonewall,OK,74871,(580) 265-4220,-96.526457,34.652531,"(34.652531, -96.526457)"
Strang,104 E Broadway,Strang,OK,74367,(918) 593-2390,-95.133877,36.410753,"(36.410753, -95.133877)"
Stratford,116 E Main St,Stratford,OK,74872,(580) 759-2319,-96.954926,34.79545,"(34.79545, -96.954926)"
Stringtown,107 E Reba McEntire Ave,Stringtown,OK,74569,(580) 346-7733,-96.055809,34.4707,"(34.4707, -96.055809)"
Stroud,601 W Main St,Stroud,OK,74079,(918) 968-2626,-96.660377,35.749191,"(35.749191, -96.660377)"
Stuart,619 Roosevelt Ave,Stuart,OK,74570,(918) 546-2626,-96.099414,34.900622,"(34.900622, -96.099414)"
Sulphur,1100 W 2nd St,Sulphur,OK,73086,(580) 622-3030,-96.969758,34.508251,"(34.508251, -96.969758)"
Sweetwater,105 N Highway 30,Sweetwater,OK,73666,(580) 534-2366,-99.911409,35.42275,"(35.42275, -99.911409)"
Swink,100 Front St,Swink,OK,74761,(580) 873-9226,-95.201779,34.019075,"(34.019075, -95.201779)"
Taft,106 West Cherokee St,Taft,OK,74463,(918) 687-6701,-95.549164,35.760746,"(35.760746, -95.549164)"
Tahlequah,1101 S Muskogee Ave,Tahlequah,OK,74464,(918) 456-2381,-94.974306,35.902104,"(35.902104, -94.974306)"
Talala,112 N Pine St,Talala,OK,74080,(918) 275-4343,-95.702372,36.531605,"(36.531605, -95.702372)"
Talihina,405 Dallas Street,Talihina,OK,74571,(918) 567-2924,-95.047764,34.751601,"(34.751601, -95.047764)"
Taloga,112 S Broadway St,Taloga,OK,73667,(580) 328-5634,-98.964047,36.039645,"(36.039645, -98.964047)"
Tatums,26 King St,Tatums,OK,73487,(580) 856-3801,-97.459217,34.483347,"(34.483347, -97.459217)"
Tecumseh,116 W Park St,Tecumseh,OK,74873,(405) 598-6812,-96.937111,35.258555,"(35.258555, -96.937111)"
Temple,209 S Commercial St,Temple,OK,73568,(580) 342-6864,-98.235714,34.269767,"(34.269767, -98.235714)"
Terlton,100 W Main St,Terlton,OK,74081,(918) 757-4215,-96.491998,36.188065,"(36.188065, -96.491998)"
Terral,309 E Apache St,Terral,OK,73569,(580) 437-2343,-97.923259,33.89651,"(33.89651, -97.923259)"
Texhoma,114 S 2nd St,Texhoma,OK,73949,(580) 423-7227,-101.783264,36.503435,"(36.503435, -101.783264)"
Texola,500 Grand St,Texola,OK,73668,(580) 526-3185,-99.991459,35.21973,"(35.21973, -99.991459)"
Thackerville,281 S Highway 77,Thackerville,OK,73459,(580) 276-3777,-97.150734,33.736455,"(33.736455, -97.150734)"
Thomas,108 N Main St,Thomas,OK,73669,(580) 661-2321,-98.747747,35.744131,"(35.744131, -98.747747)"
Tipton,105 E Main St,Tipton,OK,73570,(580) 667-5272,-99.136139,34.50302,"(34.50302, -99.136139)"
Tishomingo,108 N Neshoba St,Tishomingo,OK,73460,(580) 371-3225,-96.678628,34.235199,"(34.235199, -96.678628)"
Tonkawa,207 E Tonkawa Ave,Tonkawa,OK,74653,(580) 628-3174,-97.308427,36.679607,"(36.679607, -97.308427)"
Tryon,10 S Oklahoma St,Tryon,OK,74875,(918) 374-2361,-96.965024,35.869533,"(35.869533, -96.965024)"
Tryon,17 W Central,Tryon,OK,74875,(918) 374-2361,-96.964851,35.869573,"(35.869573, -96.964851)"
Tulsa,111 S Lewis Ave,Tulsa,OK,74104,(918) 584-6817,-95.958017,36.158407,"(36.158407, -95.958017)"
Tulsa,1423 Terrace Dr,Tulsa,OK,74104,(918) 743-1581,-95.959895,36.14188,"(36.14188, -95.959895)"
Tulsa,2032 Utica Sq,Tulsa,OK,74114,(918) 742-1384,-95.964226,36.131793,"(36.131793, -95.964226)"
Tulsa,2920 S 129th East Ave,Tulsa,OK,74134,(918) 664-1791,-95.833384,36.1224,"(36.1224, -95.833384)"
Tulsa,333 W 4th St,Tulsa,OK,74103,(918) 732-6651,-95.995021,36.151057,"(36.151057, -95.995021)"
Tulsa,3408 W 42nd Pl,Tulsa,OK,74107,(918) 446-3976,-96.030989,36.101323,"(36.101323, -96.030989)"
Tulsa,4001 W Edison St,Tulsa,OK,74127,(918) 585-1675,-96.037134,36.161327,"(36.161327, -96.037134)"
Tulsa,5313 E Independence St,Tulsa,OK,74115,(918) 835-8089,-95.917471,36.166354,"(36.166354, -95.917471)"
Tulsa,6110 E 51st Pl,Tulsa,OK,74135,(918) 664-4699,-95.906265,36.088983,"(36.088983, -95.906265)"
Tulsa,626 E Apache St,Tulsa,OK,74106,(918) 584-0765,-95.985487,36.191293,"(36.191293, -95.985487)"
Tulsa,6528 N Peoria Ave,Tulsa,OK,74126,(918) 584-0745,-95.975529,36.24852,"(36.24852, -95.975529)"
Tulsa,6910 S Yorktown Ave,Tulsa,OK,74136,(918) 492-1630,-95.961131,36.063252,"(36.063252, -95.961131)"
Tulsa,9023 E 46th St,Tulsa,OK,74145,(918) 627-4637,-95.876895,36.097967,"(36.097967, -95.876895)"
Tupelo,403 W Main,Tupelo,OK,74572,(580) 845-2486,-96.41641,34.604586,"(34.604586, -96.41641)"
Turpin,419 Main St,Turpin,OK,73950,(580) 778-3869,-100.87751,36.864092,"(36.864092, -100.87751)"
Tuskahoma,301 W Main St,Tuskahoma,OK,74574,(918) 569-4382,-95.095708,34.662842,"(34.662842, -95.095708)"
Tussy,1500 Baseline Rd,Tussy,OK,73488,(580) 856-3071,-97.545589,34.50703,"(34.50703, -97.545589)"
Tuttle,407 E Main St,Tuttle,OK,73089,(405) 381-2381,-97.807233,35.290969,"(35.290969, -97.807233)"
Twin Oaks,9755 US Highway 412 Alt,Twin Oaks,OK,74368,(918) 868-2969,-94.848288,36.205023,"(36.205023, -94.848288)"
Tyrone,104 W Main St,Tyrone,OK,73951,(580) 854-6755,-101.071214,36.95471,"(36.95471, -101.071214)"
Union City,201 N Main St,Union City,OK,73090,(405) 483-5355,-97.937289,35.39289,"(35.39289, -97.937289)"
Valliant,501 N Dalton St,Valliant,OK,74764,(580) 933-7811,-95.094369,34.00075,"(34.00075, -95.094369)"
Velma,503 Main St,Velma,OK,73491,(580) 444-3321,-97.673685,34.457047,"(34.457047, -97.673685)"
Vera,100 S Osage St,Vera,OK,74082,(918) 371-9313,-95.883068,36.449195,"(36.449195, -95.883068)"
Verden,100 Morris Ave,Verden,OK,73092,(405) 453-7575,-98.088259,35.08574,"(35.08574, -98.088259)"
Vian,205 N Thornton St,Vian,OK,74962,(918) 773-5749,-94.968981,35.499617,"(35.499617, -94.968981)"
Vici,706 N Main St,Vici,OK,73859,(580) 995-3328,-99.298619,36.14868,"(36.14868, -99.298619)"
Vinita,120 E Illinois Ave,Vinita,OK,74301,(918) 256-7548,-95.148493,36.636588,"(36.636588, -95.148493)"
Vinson,201 Francis St,Vinson,OK,73571,(580) 675-2261,-99.818929,34.893391,"(34.893391, -99.818929)"
Wagoner,233 E Church St,Wagoner,OK,74467,(918) 485-2569,-95.37548,35.958573,"(35.958573, -95.37548)"
Comanche,121 S 2nd St,Comanche,OK,73529,(580) 439-8830,-97.963094,34.368669,"(34.368669, -97.963094)"
Custer City,630 Main St,Custer City,OK,73639,(580) 593-2915,-98.883409,35.66347,"(35.66347, -98.883409)"
Cyril,112 W Main St,Cyril,OK,73029,(580) 464-2288,-98.199089,34.89652,"(34.89652, -98.199089)"
Dacoma,1000 Main,Dacoma,OK,73731,(580) 871-2291,-98.563367,36.661594,"(36.661594, -98.563367)"
Daisy,2401 E Hwy 43,Daisy,OK,74540,(580) 346-7602,-95.754928,34.52936,"(34.52936, -95.754928)"
Davenport,313 Broadway St,Davenport,OK,74026,(918) 377-2301,-96.765334,35.707138,"(35.707138, -96.765334)"
Davidson,110 W Grand St,Davidson,OK,73530,(580) 568-2276,-99.076394,34.241725,"(34.241725, -99.076394)"
Davis,900 E Main St,Davis,OK,73030,(580) 369-2514,-97.112333,34.506765,"(34.506765, -97.112333)"
Deer Creek,104 S Main St,Deer Creek,OK,74636,(580) 267-3275,-97.519473,36.8057,"(36.8057, -97.519473)"
Delaware,117 E Elevator St,Delaware,OK,74027,(918) 467-3231,-95.642339,36.778726,"(36.778726, -95.642339)"
Depew,316 W Main St,Depew,OK,74028,(918) 324-5644,-96.505213,35.803067,"(35.803067, -96.505213)"
Devol,110 W Mulberry St,Devol,OK,73531,(580) 299-3234,-98.589284,34.193461,"(34.193461, -98.589284)"
Dewar,104 N Broadway,Dewar,OK,74431,(918) 652-8655,-95.940823,35.458413,"(35.458413, -95.940823)"
Dewey,800 N Shawnee Ave,Dewey,OK,74029,(918) 534-2101,-95.936757,36.799281,"(36.799281, -95.936757)"
Dibble,12252 State Highway 39,Dibble,OK,73031,(405) 344-6985,-97.63078,35.031,"(35.031, -97.63078)"
Gotebo,11 W Commercial,Gotebo,OK,73041,(580) 538-4611,-98.867348,35.069726,"(35.069726, -98.867348)"
Gowen,100 Main St,Gowen,OK,74545,(918) 297-7302,-95.477339,34.881629,"(34.881629, -95.477339)"
Gracemont,201 W Main St,Gracemont,OK,73042,(405) 966-2367,-98.260619,35.18743,"(35.18743, -98.260619)"
Graham,29173 State Highway 53,Graham,OK,73437,(580) 673-2332,-97.435394,34.34026,"(34.34026, -97.435394)"
Grandfield,123 E 2nd St,Grandfield,OK,73546,(580) 479-3155,-98.687322,34.230696,"(34.230696, -98.687322)"
Granite,402 N Granite St,Granite,OK,73547,(580) 535-2352,-99.382088,34.961251,"(34.961251, -99.382088)"
Grant,604 Walnut St,Grant,OK,74738,(580) 326-2088,-95.50126,33.925308,"(33.925308, -95.50126)"
Greenfield,100 Madison St,Greenfield,OK,73043,(580) 623-8631,-98.378574,35.72732,"(35.72732, -98.378574)"
Grove,1200 S Shundi,Grove,OK,74344,(918) 786-2266,-94.755594,36.596815,"(36.596815, -94.755594)"
Grove,501 E 3rd St,Grove,OK,74344,(918) 786-2266,-94.762351,36.593956,"(36.593956, -94.762351)"
Guthrie,201 W Oklahoma Ave,Guthrie,OK,73044,(405) 282-4736,-97.426664,35.87795,"(35.87795, -97.426664)"
Guymon,302 N Quinn St,Guymon,OK,73942,(580) 338-6422,-101.482954,36.680723,"(36.680723, -101.482954)"
Haileyville,509 Parkway Ave,Haileyville,OK,74546,(918) 297-3221,-95.578869,34.85541,"(34.85541, -95.578869)"
Hallett,501 5th Ave,Hallett,OK,74034,(918) 356-4365,-96.567844,36.231295,"(36.231295, -96.567844)"
Hammon,701 Main St,Hammon,OK,73650,(580) 473-2299,-99.385004,35.63283,"(35.63283, -99.385004)"
Hanna,105 S Main St,Hanna,OK,74845,(918) 657-2561,-95.910773,35.259271,"(35.259271, -95.910773)"
Hardesty,107 S Broadway St,Hardesty,OK,73944,(580) 888-4515,-101.191804,36.616413,"(36.616413, -101.191804)"
Harrah,19900 NE 23rd St,Harrah,OK,73045,(405) 454-1267,-97.178621,35.492923,"(35.492923, -97.178621)"
Hartshorne,1021 Pennsylvania Ave,Hartshorne,OK,74547,(918) 297-2636,-95.5557,34.844992,"(34.844992, -95.5557)"
Haskell,118 S Broadway,Haskell,OK,74436,(918) 482-3422,-95.674949,35.817725,"(35.817725, -95.674949)"
Hastings,115 W Main St,Hastings,OK,73548,(580) 963-2961,-98.109989,34.22679,"(34.22679, -98.109989)"
Haworth,100 N Elm St,Haworth,OK,74740,(580) 245-1992,-94.590166,33.792286,"(33.792286, -94.590166)"
Headrick,310 N Broadway St,Headrick,OK,73549,(580) 738-5330,-99.242989,34.557888,"(34.557888, -99.242989)"
Healdton,315 Franklin St,Healdton,OK,73438,(580) 229-0450,-97.486784,34.234159,"(34.234159, -97.486784)"
Heavener,301 Main St,Heavener,OK,74937,(918) 653-4873,-94.601832,34.89049,"(34.89049, -94.601832)"
Helena,212 N Main St,Helena,OK,73741,(580) 852-3269,-98.270014,36.54863,"(36.54863, -98.270014)"
Hendrix,309 E Main St,Hendrix,OK,74741,(580) 838-2408,-96.404411,33.775092,"(33.775092, -96.404411)"
Hennepin,100 State Highway 7,Hennepin,OK,73444,(580) 868-3311,-97.350559,34.50712,"(34.50712, -97.350559)"
Hennessey,221 S Main St,Hennessey,OK,73742,(405) 853-2928,-97.898824,36.108109,"(36.108109, -97.898824)"
Henryetta,201 N 5th St,Henryetta,OK,74437,(918) 652-7834,-95.987141,35.440989,"(35.440989, -95.987141)"
Hillsdale,103 S Main St,Hillsdale,OK,73743,(580) 635-2331,-97.991772,36.562894,"(36.562894, -97.991772)"
Hinton,107 S Noble St,Hinton,OK,73047,(405) 542-3280,-98.354219,35.47346,"(35.47346, -98.354219)"
Hitchcock,104 W Main St,Hitchcock,OK,73744,(580) 825-3219,-98.349364,35.968035,"(35.968035, -98.349364)"
Hitchita,1 Broadway St,Hitchita,OK,74438,(918) 466-3306,-95.768199,35.50931,"(35.50931, -95.768199)"
Hobart,229 S Main St,Hobart,OK,73651,(580) 726-5258,-99.093377,35.0267,"(35.0267, -99.093377)"
Hodgen,47061 US Highway 59,Hodgen,OK,74939,(918) 653-2189,-94.633069,34.8405,"(34.8405, -94.633069)"
Holdenville,123 W 7th St,Holdenville,OK,74848,(405) 379-5627,-96.401241,35.084482,"(35.084482, -96.401241)"
Hollis,120 N 2nd St,Hollis,OK,73550,(580) 688-2366,-99.919964,34.682064,"(34.682064, -99.919964)"
Hollister,200 Main St,Hollister,OK,73551,(580) 335-7643,-98.869339,34.341101,"(34.341101, -98.869339)"
Hominy,402 W 1st St,Hominy,OK,74035,(918) 885-2770,-96.397532,36.414381,"(36.414381, -96.397532)"
Hooker,107 S Swem St,Hooker,OK,73945,(580) 652-2020,-101.214359,36.86286,"(36.86286, -101.214359)"
Hopeton,19405 County Road 440,Hopeton,OK,73746,(580) 435-2238,-98.667134,36.68803,"(36.68803, -98.667134)"
Wanette,112 E Main St,Wanette,OK,74878,(405) 383-2673,-97.033383,34.962093,"(34.962093, -97.033383)"
Wann,110 W Main St,Wann,OK,74083,(918) 531-2255,-95.804969,36.915475,"(36.915475, -95.804969)"
Wapanucka,109 E Main St,Wapanucka,OK,73461,(580) 937-4493,-96.422059,34.37499,"(34.37499, -96.422059)"
