TAG AGENCIES,ADDRESS,CITY,STATE,ZIP,PHONE1,PHONE2,LONGITUDE,LATITUDE,Location
Midwest City Tag Agency,119 South Air Depot,Midwest City,OK,73110,(405) 737-4830,(405) 737-7640,-97.406401,35.463552,"(35.463552, -97.406401)"
Tinker Tag Agency,2839 South Douglas,Midwest City,OK,73130,(405) 732-2200,(405) 732-2525,-97.370948,35.438353,"(35.438353, -97.370948)"
Minco Tag Agency,210 Main,Minco,OK,73059,(405) 352-4315,,-97.946177,35.313177,"(35.313177, -97.946177)"
Moore Tag Agency,623-D North Broadway,Moore,OK,73160,(405) 794-7144,,-97.487133,35.343445,"(35.343445, -97.487133)"
Mooreland Tag Agency,124 South Main,Mooreland,OK,73852,(580) 994-5453,,-99.204819,36.43362,"(36.43362, -99.204819)"
Morris Tag Agent,317 South Hughes,Morris,OK,74445,(918) 733-1365,,-95.860021,35.607415,"(35.607415, -95.860021)"
Morrison Tag Agency,3rd and Woolsey,Morrison,OK,73061,(580) 724-3511,,-97.008189,36.29616,"(36.29616, -97.008189)"
Mountain View Tag Agency,314 Main Street,Mountain View,OK,73062,(580) 347-2143,,-98.747709,35.09759,"(35.09759, -98.747709)"
Muskogee Tag Agency,315 State Street,Muskogee,OK,74402,(918) 682-3763,,-95.372508,35.751526,"(35.751526, -95.372508)"
Mustang Tag Agency,135 West Highway 152,Mustang,OK,73064,(405) 376-2802,,-97.723288,35.391845,"(35.391845, -97.723288)"
Newcastle Tag Agency,1025 North Main,Newcastle,OK,73065,(405) 387-9200,,-97.600274,35.25698,"(35.25698, -97.600274)"
Tri City Tag Agency,2824 North West 32nd,Newcastle,OK,73065,(405) 392-2525,,-97.653229,35.29098,"(35.29098, -97.653229)"
Newkirk Tag Agency,110 West 7th,Newkirk,OK,74647,(580) 362-3618,,-97.053885,36.882538,"(36.882538, -97.053885)"
Nicoma Park Tag Agency,11524 North East 23rd,Nicoma Park,OK,73066,(405) 769-3353,(405) 769-3354,-97.326529,35.492923,"(35.492923, -97.326529)"
Noble Tag Agency,730 North Main,Noble,OK,73068,(405) 872-9322,,-97.395973,35.147892,"(35.147892, -97.395973)"
Fuson Tag Agency,1236 North Interstate Drive,Norman,OK,73072,(405) 364-1151,(405) 321-4383,-97.487313,35.233509,"(35.233509, -97.487313)"
Lanoy Tag Agency,1315A 24th Avenue South West,Norman,OK,73072,(405) 360-0345,,-97.476478,35.202509,"(35.202509, -97.476478)"
Leroy Wheeler,443 West Gray,Norman,OK,73069,(405) 321-2977,(405) 321-1211,-97.44995,35.219463,"(35.219463, -97.44995)"
Sooner Tag Agency,130 36th Aveneu North West,Norman,OK,73072,(405) 321-7979,(405) 366-7888,-97.494443,35.218859,"(35.218859, -97.494443)"
Nowata Tag Agency,112 East Cherokee,Nowata,OK,74048,(918) 273-3025,,-95.637865,36.700165,"(36.700165, -95.637865)"
Oilton Tag Agency,110 West Main,Oilton,OK,74052,(918) 862-3705,,-96.586053,36.086289,"(36.086289, -96.586053)"
Okay Tag Agency,Highways 16 and 251A,Okay,OK,74446,(918) 683-2500,,-95.314761,35.844235,"(35.844235, -95.314761)"
Buchanan Tag Agency,316 East Oklahoma,Okeene,OK,73763,(580) 822-3797,(580) 822-4443,-98.314288,36.118239,"(36.118239, -98.314288)"
Okemah Tag Agency,421 West Broadway,Okemah,OK,74859,(918) 623-1582,,-96.305087,35.431375,"(35.431375, -96.305087)"
Brad Sullivan Tag Agency,2511 North Western,Oklahoma City ,OK,73106,(405) 524-8247,,-97.53006,35.494481,"(35.494481, -97.53006)"
Capitol Hill Tag Agency,"3201 South Shields, Suite A",Oklahoma City ,OK,73129,(405) 631-4545,,-97.508115,35.433152,"(35.433152, -97.508115)"
Classen Tag Agency,3100 Classen Boulevard,Oklahoma City ,OK,73118,(405) 521-1151,,-97.53407,35.50061,"(35.50061, -97.53407)"
Crawford Tag Agency,10443 North May,Oklahoma City ,OK,73120,(405) 751-2203,,-97.567325,35.575701,"(35.575701, -97.567325)"
Downtown Oklahoma CIty Tag Agency,120 North Robinson,Oklahoma City ,OK,73102,(405) 232-5299,,-97.516298,35.468034,"(35.468034, -97.516298)"
Express Tag Agency,6730 North West Expressway,Oklahoma City ,OK,73132,(405) 721-4144,(405) 721-4287,-97.632868,35.555334,"(35.555334, -97.632868)"
Greenway Plaza Tag Agency,11721 South Western,Oklahoma City ,OK,73170,(405) 691-8700,(405) 691-8907,-97.53012,35.351332,"(35.351332, -97.53012)"
Hill Tag Agency,7416 North Broadway Extension,Oklahoma City ,OK,73116,(405) 286-3658,,-97.513383,35.546534,"(35.546534, -97.513383)"
Kenny Skaggs Tag Agency,1621 South West 59th,Oklahoma City ,OK,73119,(405) 685-3411,,-97.545068,35.406346,"(35.406346, -97.545068)"
Mac's Tag Agency,4512 South Pennsylvania,Oklahoma City ,OK,73119,(405) 681-5305,,-97.547784,35.420518,"(35.420518, -97.547784)"
Motor Vehicle Division at the Oklahoma Tax Commission,2501 Lincoln Boulevard,Oklahoma City ,OK,73194,(405) 521-2830,,-97.505444,35.495257,"(35.495257, -97.505444)"
Northeast Tag Agency,2501 North East 23rd,Oklahoma City ,OK,73111,(405) 424-4660,,-97.464173,35.493185,"(35.493185, -97.464173)"
Northside Tag Agency,7527 North May Avenue,Oklahoma City ,OK,73116,(405) 843-6036,(405) 843-1727,-97.56582,35.546742,"(35.546742, -97.56582)"
Northwest Tag Agency,4200-D North West Expressway,Oklahoma City ,OK,73116,(405) 840-1739,,-97.595114,35.538826,"(35.538826, -97.595114)"
Oklahoma Corporation Commission Trucking One-Stop-Shop,2101 North Lincoln,Oklahoma City ,OK,73152,(405) 521-3036,,-97.473208,35.355706,"(35.355706, -97.473208)"
Price Tag Agency,7402 South Walker,Oklahoma City ,OK,73139,(405) 634-3333,(405) 634-3488,-97.521086,35.39285,"(35.39285, -97.521086)"
Quail Tag Agency,13919-A North May Avenue,Oklahoma City ,OK,73134,(405) 752-2770,(405) 752-2990,-97.567322,35.614487,"(35.614487, -97.567322)"
Ralph's Drug and Tag Agency,1301 South West 29th,Oklahoma City ,OK,73119,(405) 634-3317,,-97.539301,35.435343,"(35.435343, -97.539301)"
Altus Tag Agency,802 Falcon Road,Altus,OK,73521,(580) 480-0400,,-99.324616,34.651413,"(34.651413, -99.324616)"
Alva Tag Agency,324 7th,Alva,OK,73717,(580) 327-4920,,-98.668304,36.805731,"(36.805731, -98.668304)"
Marlett Tax & Tag,121 North West Second Street,Anadarko,OK,73005,(405) 247-6717,,-98.245194,35.079274,"(35.079274, -98.245194)"
Antlers Tag Agency,203 South West C Street,Antlers,OK,74523,(580) 298-3507,,-95.623927,34.22976,"(34.22976, -95.623927)"
Apache Tag Agency,204 East Evans,Apache,OK,73006,(580) 588-3695,,-98.363359,34.89385,"(34.89385, -98.363359)"
Arapaho Tag Agency,504 South 10th,Arapaho,OK,73620,(580) 323-6471,,-98.964601,35.57327,"(35.57327, -98.964601)"
Arcadia Tag and Title,Highway 66 and Odor Street,Arcadia,OK,73007,(405) 396-0824,,-97.324009,35.66283,"(35.66283, -97.324009)"
Ardmore Tag Office,"2001 Veterans Boulevard, Suite B",Ardmore,OK,73401,(580) 223-8664,,-97.112581,34.202876,"(34.202876, -97.112581)"
Arkoma Tag Office,524 Main Street,Arkoma,OK,74901,(918) 875-3212,,-94.435239,35.358127,"(35.358127, -94.435239)"
Arnett Tag Agency,323 East Renfrow,Arnett,OK,73832,(580) 885-7788,,-99.778024,36.13489,"(36.13489, -99.778024)"
Atoka Tag Agency,119 North Ohio,Atoka,OK,74525,(580) 889-2261,,-96.12468,34.385422,"(34.385422, -96.12468)"
Barnsdall Tag Agency,410 West Main,Barnsdall,OK,74002,(918) 847-2150,,-96.170339,36.56208,"(36.56208, -96.170339)"
Express Tag Agency,16459 South Highway 123,Bartlesville,OK,74003,(918) 336-2543,(918) 336-9457,-96.097679,36.71685,"(36.71685, -96.097679)"
Tuxedo Tag Office,3400 East Tuxedo,Bartlesville,OK,74006,(918) 333-7095,,-95.939655,36.757097,"(36.757097, -95.939655)"
Beaver County Tag Office,400 Douglas,Beaver,OK,73932,(580) 625-3376,,-100.519468,36.813981,"(36.813981, -100.519468)"
Bethany Tag Agency Incorporated,7323 North West 23rd,Bethany,OK,73008,(405) 787-2232,(405) 787-1133,-97.641731,35.493468,"(35.493468, -97.641731)"
Ginger's Tag Agency,6225 North West 39th,Bethany,OK,73008,(405) 495-5882,(405) 495-5884,-97.623358,35.511497,"(35.511497, -97.623358)"
Ray's Westside Tag Agency,7601 North West 23rd,Bethany,OK,73008,(405) 787-7297,(405) 787-7298,-97.647866,35.493372,"(35.493372, -97.647866)"
Kurt's One Thing & Another,111 North Broadway,Billings,OK,74630,(580) 725-3242,,-97.445488,36.529087,"(36.529087, -97.445488)"
Binger Tag Agency,217 West Main,Binger,OK,73009,(405) 656-2440,,-98.343079,35.30879,"(35.30879, -98.343079)"
Bixby Central Tag Agency,203 West Dawes,Bixby,OK,74008,(918) 366-7797,,-95.886076,35.942396,"(35.942396, -95.886076)"
Bixby Tag Agency,10827-B South Memorial,Bixby,OK,74133,(918) 369-4630,,-95.88627,36.007511,"(36.007511, -95.88627)"
Blackwell Tag Agency,401 S. Main,Blackwell,OK,74631,(580) 363-1135,,-97.283077,36.80122,"(36.80122, -97.283077)"
Blair Tag Agency,117 East Main,Blair,OK,73526,(580) 563-2625,,-99.330559,34.78049,"(34.78049, -99.330559)"
Richey Tag Agency,215 North Main,Blanchard,OK,73010,(405) 485-2226,(405) 485-2396,-97.658456,35.138158,"(35.138158, -97.658456)"
Cimarron Tag Agency,Courthouse,Boise City ,OK,73933,(580) 544-2881,,-102.512349,36.72969,"(36.72969, -102.512349)"
Bokchito Tag Agency,115 South Walker,Bokchito ,OK,74726,(580) 295-3123,,-96.144489,34.016085,"(34.016085, -96.144489)"
Bristow Tag Agency,105 East 1st,Bristow ,OK,74010,(918) 367-5422,,-96.390725,35.828426,"(35.828426, -96.390725)"
Central Park Tag Agency,824 South Elm Place,Broken Arrow ,OK,74012,(918) 251-2659,,-95.797637,36.044679,"(36.044679, -95.797637)"
Coweta Tag Agency,11059 South State Highway 51,Broken Arrow ,OK,74429,(918) 279-8996,,-95.675749,35.99515,"(35.99515, -95.675749)"
Forest Ridge Tag Agency,25695 East 71st Street,Broken Arrow ,OK,74014,(918) 357-3800,,-95.690524,36.060886,"(36.060886, -95.690524)"
Indian Springs Tag Agency,8216-A South Elm Place,Broken Arrow ,OK,74012,(918) 449-1567,,-95.797494,35.97455,"(35.97455, -95.797494)"
Tag Agency - Broken Bow,32 North Main Street,Broken Bow ,OK,74728,(580) 584-2892,,-94.73687,34.026735,"(34.026735, -94.73687)"
Buffalo Tag Agency,113 North Highway,Buffalo ,OK,73834,(580) 735-2720,,-99.560277,36.826703,"(36.826703, -99.560277)"
Mary's Tag Office,312 South Highway 44,Burns Flat ,OK,73624,(580) 562-4745,,-99.170244,35.361895,"(35.361895, -99.170244)"
The Tag Agency of Cache,303 South 5th Street,Cache ,OK,73527,(580) 429-8885,,-98.62919,34.628574,"(34.628574, -98.62919)"
Caddo Tag Agency,125 1/2 Buffalo,Caddo ,OK,74729,(580) 367-2329,,-96.269039,34.12891,"(34.12891, -96.269039)"
Red River Tag Agency,711 N. McKinley,Calera ,OK,74730,(580) 434-6300,,-96.432108,33.931224,"(33.931224, -96.432108)"
Calumet Tag Agency,119 North Calumet Road,Calumet ,OK,73014,(405) 893-2220,(405) 893-2208,-98.114314,35.531738,"(35.531738, -98.114314)"
Canton Tag Agency,110 East Main,Canton ,OK,73724,(580) 886-5700,,-98.588593,36.053593,"(36.053593, -98.588593)"
Carnegie Tag Agency,4 North Broadway,Carnegie ,OK,73015,(580) 654-2355,,-98.604919,35.10709,"(35.10709, -98.604919)"
Catoosa Tag Agency,1875 North Highway 66,Catoosa ,OK,74015,(918) 266-3296,,-95.734444,36.190915,"(36.190915, -95.734444)"
Cement Tag Agency,306 North Main,Cement ,OK,73017,(405) 489-7158,,-98.140065,34.93421,"(34.93421, -98.140065)"
Diamond Tag Agency,101 Dewey,Chandler,OK,74834,(405) 258-0222,,-96.874492,35.709807,"(35.709807, -96.874492)"
Checotah Tag Agency,300-C South Broadway,Checotah,OK,74426,(918) 473-6491,,-95.523729,35.467938,"(35.467938, -95.523729)"
Chelsea Tag Agency,336 West 6th Street,Chelsea,OK,74016,(918) 789-2332,,-95.433179,36.535969,"(36.535969, -95.433179)"
Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728,(580) 596-3428,,-98.372529,36.753708,"(36.753708, -98.372529)"
Cheyenne Tag Agency,104 South Cearlock,Cheyenne,OK,73628,(580) 497-3515,,-99.683841,35.634686,"(35.634686, -99.683841)"
McLemore Tag Agency,1027 South 4th,Chickasha,OK,73018,(405) 224-2704,,-97.936734,35.040747,"(35.040747, -97.936734)"
Choctaw Tag Agency,2402 North Main,Choctaw,OK,73020,(405) 390-3939,,-97.270838,35.493301,"(35.493301, -97.270838)"
J. McWhirter Tag Agency,14300 South East 29th,Choctaw,OK,73020,(405) 733-9855,,-97.279443,35.435193,"(35.435193, -97.279443)"
Chouteau Tag Agency,103 East Harrison,Chouteau,OK,74337,(918) 476-5763,(918) 476-8917,-95.341165,36.191521,"(36.191521, -95.341165)"
Claremore Tag Agency,103 East Patti Page,Claremore,OK,74017,(918) 341-6226,(918) 341-6733,-95.610837,36.309231,"(36.309231, -95.610837)"
Clayton Tag Agency,202 Lawson Boulevard,Clayton,OK,74536,(918) 569-7721,,-95.352397,34.590386,"(34.590386, -95.352397)"
Cleveland Tag Agency,108 South Broadway,Cleveland,OK,74020,(918) 358-2363,,-96.464123,36.308804,"(36.308804, -96.464123)"
Clinton Tag Agency,1201 Gary Boulevard,Clinton,OK,73601,(580) 323-6666,,-98.974644,35.51562,"(35.51562, -98.974644)"
Coalgate Tag Agency,111 North Main,Coalgate,OK,74538,(580) 927-2060,,-96.218251,34.539618,"(34.539618, -96.218251)"
Collinsville Tag Agency,1003 West Broadway,Collinsville,OK,74021,(918) 371-2343,,-95.836719,36.365462,"(36.365462, -95.836719)"
Comanche Tag Agency,101 Village Mall,Comanche,OK,73529,(580) 439-5565,,-97.979332,34.364896,"(34.364896, -97.979332)"
New Cordell Tag Agency,210 East 1st Street,Cordell,OK,73632,(580) 832-3845,,-98.988658,35.292242,"(35.292242, -98.988658)"
Withers Tag Agency,13747 South State Highway 51,Coweta,OK,74429,(918) 486-1188,,-95.67149,35.98905,"(35.98905, -95.67149)"
Crescent Tag Agency,119 South Grand,Crescent,OK,73028,(405) 969-2826,,-97.595633,35.952322,"(35.952322, -97.595633)"
Cushing Tag Agency,109 West Broadway,Cushing,OK,74023,(918) 225-3344,,-96.772898,35.979884,"(35.979884, -96.772898)"
Cyril Tag Office,111 Main Street,Cyril,OK,73029,(580) 464-2800,,-98.199089,34.89652,"(34.89652, -98.199089)"
Webber Agency,109 South 3rd Street,Davis,OK,73030,(580) 369-2783,,-97.119537,34.504196,"(34.504196, -97.119537)"
Del City Tag Agency,3316 South Sunnylane,Del City,OK,73115,(405) 677-3335,(405) 677-3336,-97.441187,35.432395,"(35.432395, -97.441187)"
Ada Tag Agency,509 East Arlington,Ada,OK,74820,(580) 332-6079,(580) 332-6108,-96.674194,34.781571,"(34.781571, -96.674194)"
Adair Tag Agency,301 West Main,Adair,OK,74330,(918) 785-2134,,-95.273302,36.437161,"(36.437161, -95.273302)"
Allen Tag Agency,207 East Broadway,Allen,OK,74825,(580) 857-2477,,-96.414416,34.878992,"(34.878992, -96.414416)"
Red Cap Tag Agency,3916 North West 10,Oklahoma City ,OK,73107,(405) 942-3134,,-97.588575,35.478575,"(35.478575, -97.588575)"
Sooner Road Tag Agency,9004 South Sooner Road,Oklahoma City ,OK,73165,(405) 455-7240,,-97.423363,35.376819,"(35.376819, -97.423363)"
Warwick Tag Agency,5936 North West 122,Oklahoma City ,OK,73162,(405) 720-0002,,-97.621327,35.594511,"(35.594511, -97.621327)"
Okmulgee Tag Agency,501 East 6th,Okmulgee,OK,74447,(918) 756-8777,,-95.966549,35.62325,"(35.62325, -95.966549)"
Oologah Tag Agency,105 North Maple,Oologah,OK,74053,(918) 443-9176,,-95.709854,36.447419,"(36.447419, -95.709854)"
A-J Tag Agency,11330 North Garnett Road,Owasso,OK,74055,(918) 272-9000,,-95.848303,36.318839,"(36.318839, -95.848303)"
Owasso Tag Agency,117-A South Main,Owasso,OK,74055,(918) 272-1300,(918) 272-1504,-95.85485,36.264796,"(36.264796, -95.85485)"
Pauls Valley Tag Agency,113 East Paul,Pauls Valley ,OK,73075,(405) 238-5534,,-97.219716,34.740882,"(34.740882, -97.219716)"
Pawhuska Tag Agency,801 East Main,Pawhuska ,OK,74056,(918) 287-3244,,-96.331612,36.662584,"(36.662584, -96.331612)"
Pawnee Tag Agency,621 Harrison Street,Pawnee ,OK,74058,(918) 762-3784,,-96.804395,36.337807,"(36.337807, -96.804395)"
Perkins Tag Agency,222 North Main,Perkins ,OK,74059,(405) 547-2184,,-97.033544,35.975428,"(35.975428, -97.033544)"
Perry Tag Agency,610 North 15th,Perry ,OK,73077,(580) 336-4763,,-97.30084,36.288979,"(36.288979, -97.30084)"
Piedmont Tag Agency,414 Piedmont Road North,Piedmont ,OK,73078,(405) 373-2131,,-97.745319,35.72579,"(35.72579, -97.745319)"
Bussey Tag Agency,64820 U.S. Highway 60,Ponca City,OK,74604,(580) 762-4922,,-96.982099,36.67675,"(36.67675, -96.982099)"
Ponca City Tag Agency,2101 North 14th,Ponca City,OK,74602,(580) 765-8711,,-97.066952,36.726349,"(36.726349, -97.066952)"
McCollough Tag Agency,Main Street,Porter,OK,74454,(918) 483-3271,,-95.588754,35.879425,"(35.879425, -95.588754)"
Poteau Tag Agency,2801 North Broadway,Poteau,OK,74953,(918) 647-7115,,-94.630239,35.085085,"(35.085085, -94.630239)"
Prague Tag Agency,821 Jim Thorpe Boulevard,Prague,OK,74864,(405) 567-2255,,-96.685664,35.493884,"(35.493884, -96.685664)"
Pryor Tag Agency,420 East Graham,Pryor,OK,74361,(918) 825-5020,(918) 825-7133,-95.314142,36.306931,"(36.306931, -95.314142)"
Purcell Tag Agency,302 West Main Street,Purcell,OK,73080,(405) 527-3446,,-97.362897,35.012156,"(35.012156, -97.362897)"
Quinton Tag Agency,909 Main Street,Quinton,OK,74561,(918) 469-3156,,-95.371709,35.122575,"(35.122575, -95.371709)"
Ralston Agency,611 Main,Ralston,OK,74650,(918) 738-4216,,-96.729717,36.503889,"(36.503889, -96.729717)"
Ringling Tag Agency,364475 Highway 70 East,Ringling,OK,73456,(580) 662-2899,,-97.583289,34.1728,"(34.1728, -97.583289)"
Nichols Tag Agency,315 North Main,Ringwood,OK,73768,(580) 883-5969,(580) 883-2232,-98.244934,36.39046,"(36.39046, -98.244934)"
Roff Tag Agency,23433 CR 3460,Roff,OK,74865,(580) 456-7800,,-96.844677,34.600549,"(34.600549, -96.844677)"
Weaver's Tag Office,105 East Ray Fine Boulevard,Roland,OK,74954,(918) 427-3269,,-94.534949,35.405355,"(35.405355, -94.534949)"
Rush Springs Tag Agency,218 West Blakely,Rush Springs,OK,73082,(580) 476-3063,,-97.957719,34.78274,"(34.78274, -97.957719)"
Ryan Tag Agency,925 6th Street,Ryan,OK,73565,(580) 757-2268,,-97.95887,34.022262,"(34.022262, -97.95887)"
Salina Tag Agency,102 A Owen Walters Boulevard,Salina,OK,74365,(918) 434-5770,,-95.147199,36.29294,"(36.29294, -95.147199)"
Sallisaw Tag Office,2329 East Cherokee,Sallisaw,OK,74955,(918) 775-4497,,-94.769518,35.458466,"(35.458466, -94.769518)"
Prattville Tag Office,606 West 41st,Sand Springs,OK,74063,(918) 241-2800,,-96.131737,36.104575,"(36.104575, -96.131737)"
Sand Springs Tag Office,414 Plaza Court,Sand Springs,OK,74063,(918) 241-3400,,-96.103874,36.139522,"(36.139522, -96.103874)"
Sapulpa Tag Office,713 South Mission,Sapulpa,OK,74066,(918) 224-0264,(918) 224-0265,-96.098655,35.989878,"(35.989878, -96.098655)"
Sayre Tag Office,305 South 4th,Sayre,OK,73662,(580) 928-5181,,-99.639714,35.288906,"(35.288906, -99.639714)"
Seiling Tag Agency,103 Gary England Avenue,Seiling,OK,73663,(580) 922-4224,,-98.849514,36.101005,"(36.101005, -98.849514)"
Seminole Tag Agency,208 East Oak,Seminole,OK,74868,(405) 382-0038,(405) 382-0039,-96.669595,35.225665,"(35.225665, -96.669595)"
Sentinel Tag Agency,218 East Main,Sentinel,OK,73664,(580) 393-4343,,-99.176766,35.158223,"(35.158223, -99.176766)"
Ehrlich Tag Agency,109 West 3rd,Shattuck,OK,73858,(580) 938-2953,,-99.879119,36.2741,"(36.2741, -99.879119)"
Shawnee North Tag Agency,3715 North Kickapoo,Shawnee,OK,74804,(405) 273-8247,,-96.929702,35.369952,"(35.369952, -96.929702)"
Shawnee Tag Agency,301 West Highland,Shawnee,OK,74801,(405) 273-6686,,-96.927448,35.332549,"(35.332549, -96.927448)"
Shidler TV,249 South Cosden,Shidler,OK,74652,(918) 793-2191,,-96.661372,36.780383,"(36.780383, -96.661372)"
