TAG AGENCIES,ADDRESS,CITY,STATE,ZIP,PHONE1,PHONE2,LONGITUDE,LATITUDE,Location
Skiatook Tag Agency,119 West Rogers,Skiatook,OK,74070,(918) 396-3255,,-96.0016,36.368413,"(36.368413, -96.0016)"
Snyder Tag Agency,1101 F Street,Snyder,OK,73566,(580) 569-2917,,-98.950643,34.654615,"(34.654615, -98.950643)"
Spencer Tag Agency,8479 North East 23rd,Spencer,OK,73141,(405) 427-2245,,-97.380469,35.493219,"(35.493219, -97.380469)"
Sperry Tag Agency,115-A Highway 11,Sperry,OK,74073,(918) 288-7457,,-95.988321,36.297396,"(36.297396, -95.988321)"
Spiro Tag Agency,800 West Broadway,Spiro,OK,74959,(918) 962-2293,,-94.628347,35.240894,"(35.240894, -94.628347)"
Stigler Tag Agency,801 East Main,Stigler,OK,74462,(918) 967-8902,,-95.117247,35.252051,"(35.252051, -95.117247)"
Stillwater Tag Agency,702 South Western Road,Stillwater,OK,74074,(405) 624-0200,(405) 624-0255,-97.087465,36.11491,"(36.11491, -97.087465)"
Stilwell Tag Agency,115 West Division,Stilwell,OK,74960,(918) 696-3841,,-94.627449,35.81453,"(35.81453, -94.627449)"
Stratford Tag Agency,600 North Forest Avenue,Stratford,OK,74872,(580) 759-3022,,-96.976379,34.7822,"(34.7822, -96.976379)"
Stroud Tag Agency,402 West Main,Stroud,OK,74079,(918) 968-0377,,-96.7774,35.786151,"(35.786151, -96.7774)"
Roger Davis Tag Agent,825 Roosevelt,Stuart,OK,74570,(918) 546-2233,,-96.099436,34.902772,"(34.902772, -96.099436)"
Bates Tag Agency,1012 West 3rd,Sulphur,OK,73086,(580) 622-3828,,-96.971101,34.507458,"(34.507458, -96.971101)"
Cherokee County Tag Agency,25 Plaza South,Tahlequah,OK,74464,(918) 453-2889,,-94.952699,35.91542,"(35.91542, -94.952699)"
Talihina Tag Agency,410-A Dallas Street,Talihina,OK,74571,(918) 567-2459,,-95.050019,34.75347,"(34.75347, -95.050019)"
Taloga Tag Agency,103 South Broadway,Taloga,OK,73667,(580) 328-5485,,-98.963744,36.039732,"(36.039732, -98.963744)"
Bethel Acres Tag Agency,"17804 South Highway 102, Bethel Acres",Tecumseh,OK,74873,(405) 878-0040,,-97.053949,35.2844,"(35.2844, -97.053949)"
Tecumseh Tag Agency,514 North Broadway,Tecumseh,OK,74873,(405) 598-2145,,-96.935843,35.249238,"(35.249238, -96.935843)"
Temple Tag Agency,106 South Commercial,Temple,OK,73568,(580) 342-5579,,-98.235879,34.26994,"(34.26994, -98.235879)"
Texhoma Tag Agency,112 2nd Street,Texhoma,OK,73949,(580) 423-7112,,-101.783088,36.505104,"(36.505104, -101.783088)"
Thomas Tag Agency,106 North Main,Thomas,OK,73669,(580) 661-2919,,-98.747744,35.744114,"(35.744114, -98.747744)"
Tipton Tag Agency,423 North West 2nd,Tipton,OK,73570,(580) 667-5708,,-99.142033,34.506371,"(34.506371, -99.142033)"
Tishomingo Tag Agency,107 West Main,Tishomingo,OK,73460,(580) 371-2161,,-96.67751,34.234663,"(34.234663, -96.67751)"
Tonkawa Tag Agency,100 East Grand,Tonkawa,OK,74653,(580) 628-2206,,-97.309688,36.678535,"(36.678535, -97.309688)"
Admiral Tag Office,6704 East Admiral Place,Tulsa,OK,74115,(918) 835-6957,(918) 835-6156,-95.901997,36.16062,"(36.16062, -95.901997)"
Barnes Tag Agency Incorporated,6542 East 91st,Tulsa,OK,74133,(918) 492-4990,(918) 492-4999,-95.903445,36.031701,"(36.031701, -95.903445)"
Billie's Towne West,5632 West Skelly Drive,Tulsa,OK,74107,(918) 445-2929,,-96.046914,36.081702,"(36.081702, -96.046914)"
Blake's West Side Tag,4979 South Union,Tulsa,OK,74107,(918) 446-1548,(918) 446-1740,-96.011536,36.090757,"(36.090757, -96.011536)"
Central Tag Agency,1632 South Harvard,Tulsa,OK,74112,(918) 743-8440,(918) 744-6419,-95.940522,36.138053,"(36.138053, -95.940522)"
Downtown Tulsa Tag Agency,201 West 5th Street,Tulsa,OK,74103,(918) 582-8247,,-95.992602,36.150688,"(36.150688, -95.992602)"
Eastside Tag Agency,1914 South Garnett Road,Tulsa,OK,74128,(918) 234-6244,(918) 234-8347,-95.851234,36.135443,"(36.135443, -95.851234)"
Garnett Tag Agency,5807 South Garnett,Tulsa,OK,74146,(918) 250-7284,(918) 250-7487,-95.850904,36.07866,"(36.07866, -95.850904)"
Mid-Town Tag Agency,5131 South Lewis,Tulsa,OK,74105,(918) 747-6599,,-95.957834,36.088916,"(36.088916, -95.957834)"
Northside Tag Agency,3190 West 21st street,Tulsa,OK,74107,(918) 428-2521,,-96.026873,36.133305,"(36.133305, -96.026873)"
Southeast Tag Agency,4309 South Sheridan,Tulsa,OK,74145,(918) 622-7182,,-95.904353,36.100636,"(36.100636, -95.904353)"
Southside Tag Agency,8741-A South Lewis,Tulsa,OK,74137,(918) 299-6333,,-95.955021,36.037228,"(36.037228, -95.955021)"
Turley Tag Agency,5918 North Peoria,Tulsa,OK,74126,(918) 428-5856,,-95.975703,36.239261,"(36.239261, -95.975703)"
Vern Tag Agency,708 South 49 West Avenue,Tulsa,OK,74127,(918) 582-2122,,-96.047374,36.147826,"(36.147826, -96.047374)"
Turpin Tag Agency,412 South Main,Turpin,OK,73950,(580) 778-3315,,-100.877511,36.86415,"(36.86415, -100.877511)"
Tuttle Tag Agency,303 West Main,Tuttle,OK,73089,(405) 381-2413,,-97.81612,35.290931,"(35.290931, -97.81612)"
Valliant Tag Agency,30 B East Wilson,Valliant,OK,74764,(580) 933-7888,,-95.093601,34.001941,"(34.001941, -95.093601)"
Velma Tag Agency,East Main Behind Texaco,Velma,OK,73091,(580) 444-3557,,-97.673773,34.460591,"(34.460591, -97.673773)"
Vian Tag Agency,Highway 64 East,Vian,OK,74962,(918) 773-5330,,-94.976369,35.50006,"(35.50006, -94.976369)"
Vici Tag Office,7th and Main,Vici,OK,73859,(580) 995-4438,,-99.298609,36.15085,"(36.15085, -99.298609)"
Vinita Tag Agency,320 South Wilson,Vinita,OK,74301,(918) 256-3110,,-95.156753,36.634479,"(36.634479, -95.156753)"
Wagoner Tag Agency,103 North Harrill,Wagoner,OK,74467,(918) 485-5500,,-95.368514,35.959511,"(35.959511, -95.368514)"
Walters Tag Agency,227 North Broadway,Walters,OK,73572,(580) 875-6555,,-98.309324,34.359379,"(34.359379, -98.309324)"
Wanette Tag Agency,Route 2,Wanette,OK,74878,(405) 383-2585,(405) 383-2210,-96.931319,35.015335,"(35.015335, -96.931319)"
Wapanucka Tag Agency,101 East 3rd Street,Wapanucka,OK,73461,(580) 937-4265,(580) 937-4688,-96.423879,34.376045,"(34.376045, -96.423879)"
Waukomis Tag Agency,114 East Euclid,Waukomis,OK,73773,(580) 758-3930,,-97.894319,36.28008,"(36.28008, -97.894319)"
Waurika Tag Agency,202 North Meridian,Waurika,OK,73573,(580) 228-2823,,-97.999842,34.1651,"(34.1651, -97.999842)"
Waynoka,1543 Main Street,Waynoka,OK,73860,(580) 824-2171,,-98.87965,36.577217,"(36.577217, -98.87965)"
Weatherford Tag Office,200 South Broadway,Weatherford,OK,73096,(580) 772-7868,,-98.709041,35.52487,"(35.52487, -98.709041)"
McLoud Tile and Carpet,116 West 9th,Weleetka,OK,74880,(405) 786-2111,,-96.135074,35.345655,"(35.345655, -96.135074)"
Wellston Tag Agency,324 West Second Street,Wellston,OK,74881,(405) 356-2445,(405) 356-2477,-97.067069,35.69449,"(35.69449, -97.067069)"
Westville Tag Agency,218 South Williams,Westville,OK,74965,(918) 723-3762,,-94.565799,35.98784,"(35.98784, -94.565799)"
Wetumka Tag Agent,102 North Main,Wetumka,OK,74883,(405) 452-5955,,-96.241724,35.237441,"(35.237441, -96.241724)"
Wewoka Tag Agency,1025 South Wewoka,Wewoka,OK,74884,(405) 257-2858,,-96.491601,35.148614,"(35.148614, -96.491601)"
Wheatland Tag Agency,7217 South Council Road,Wheatland,OK,73097,(405) 745-4091,,-97.651954,35.397875,"(35.397875, -97.651954)"
Latimer County Tag Agency,106 East Ada,Wilburton,OK,74578,(918) 465-2445,,-95.309417,34.919723,"(34.919723, -95.309417)"
Johnny Turner Tag Agency,425 United States Highway 70A,Wilson,OK,73463,(580) 668-3376,,-97.419926,34.163699,"(34.163699, -97.419926)"
Woodward Tag Agency,502 Main,Woodward,OK,73802,(580) 256-8016,(580) 256-3715,-99.386027,36.435807,"(36.435807, -99.386027)"
Underwood Tag Agency,107 North Dean A McGee,Wynnewood,OK,73098,(405) 665-2211,(405) 665-5388,-97.17026,34.642884,"(34.642884, -97.17026)"
Yale Tag Agency,108 North Main,Yale,OK,74085,(918) 387-2035,,-96.699087,36.114283,"(36.114283, -96.699087)"
Oklahoma Tag of Yukon,933 South Cornwell,Yukon,OK,73099,(405) 354-9820,,-97.742371,35.49846,"(35.49846, -97.742371)"
Yukon Tag Agency,103 East Vandament Avenue,Yukon,OK,73099,(405) 354-2212,,-97.740357,35.493494,"(35.493494, -97.740357)"
Yukon' Best Tag Agency,801 B West Main,Yukon,OK,73099,(405) 354-0800,,-97.737269,35.50542,"(35.50542, -97.737269)"
Warner Tag Agency,806 3rd Avenue,Warner,OK,74469,(918) 463-3687,,-95.322792,35.491483,"(35.491483, -95.322792)"
Watonga Tag Agency,801 Clarence Nash Boulevard,Watonga,OK,73772,(580) 623-5074,,-98.419088,35.865905,"(35.865905, -98.419088)"
Drumright Tag Office,330 East Broadway,Drumright,OK,74030,(918) 352-9829,(918) 352-3779,-96.597483,35.988324,"(35.988324, -96.597483)"
Duncan NorthsideTag Office,1615 West Elk,Duncan,OK,73533,(580) 252-2300,(580) 252-2301,-97.967529,34.521776,"(34.521776, -97.967529)"
Duncan Tag Agency,1894 North Highway 81,Duncan,OK,73533,(580) 252-6688,,-97.966734,34.527141,"(34.527141, -97.966734)"
Durant Tag Office,206 West Evergreen,Durant,OK,74701,(580) 924-0466,,-96.377231,33.992414,"(33.992414, -96.377231)"
Earlsboro Tag Agency,Highways 9 and 9A,Earlsboro,OK,74840,(405) 997-5760,,-96.802819,35.260575,"(35.260575, -96.802819)"
Broadway Tag Agency,3900 South Broadway,Edmond,OK,73013,(405) 341-1400,,-97.49041,35.617537,"(35.617537, -97.49041)"
Edmond Tag Agency,2 West 1st Street,Edmond,OK,73003,(405) 341-0742,,-97.481606,35.654127,"(35.654127, -97.481606)"
Sanford Edmond South,3216 South Boulevard,Edmond,OK,73013,(405) 341-9401,(405) 341-9569,-97.478179,35.63417,"(35.63417, -97.478179)"
Santa Fe Tag Agency,338 South Santa Fe Avenue,Edmond,OK,73003,(405) 330-2112,,-97.513772,35.652785,"(35.652785, -97.513772)"
Woodcrest Tag Agency,3131 East Waterloo Road,Edmond,OK,73034,(405) 348-9000,,-97.439747,35.725419,"(35.725419, -97.439747)"
El Reno Tag Agency,120 South Rock Island,El Reno,OK,73036,(405) 262-1800,,-97.952807,35.532967,"(35.532967, -97.952807)"
Eldorado Tag Agency,517 West Main,Eldorado,OK,73537,(580) 633-2400,,-99.649105,34.473253,"(34.473253, -99.649105)"
Elgin Tag Agency,815 H Avenue,Elgin,OK,73538,(580) 492-5454,,-98.29126,34.783111,"(34.783111, -98.29126)"
Elk City Tag Office,115 East Broadway,Elk City,OK,73644,(580) 225-1936,,-99.404583,35.4108,"(35.4108, -99.404583)"
Enid Tag Agency,115 West Owen K Garriott,Enid,OK,73703,(580) 234-4281,(580) 234-4283,-97.878691,36.390713,"(36.390713, -97.878691)"
Tag Agency of Enid,112 North Oakwood,Enid,OK,73703,(580) 242-8247,,-97.925974,36.396577,"(36.396577, -97.925974)"
Erick Tag Agency,213 West 3rd,Erick,OK,73645,(580) 526-3180,,-99.866689,35.2139,"(35.2139, -99.866689)"
Eufaula Tag Office,305 South Main,Eufaula,OK,74432,(918) 689-3336,,-95.582481,35.284243,"(35.284243, -95.582481)"
Fairfax Tag Agency,242 North Main,Fairfax,OK,74637,(918) 642-3614,,-96.704144,36.569051,"(36.569051, -96.704144)"
Fairview Tag Agency,103 South 7th,Fairview,OK,73737,(580) 227-4510,,-98.4772,36.268916,"(36.268916, -98.4772)"
Fargo Tag Agency,205 South Main,Fargo,OK,73840,(580) 698-2264,,-99.623619,36.375001,"(36.375001, -99.623619)"
Fletcher Tag Agency,428 Cole,Fletcher,OK,73541,(580) 549-6558,,-98.243707,34.822946,"(34.822946, -98.243707)"
Tags 2 Go,102 West Grand,Frederick,OK,73542,(580) 335-7474,,-99.023249,34.389417,"(34.389417, -99.023249)"
Ft. Cobb Tag Agency,324 Main,Ft Cobb,OK,73038,(405) 668-0502,,-98.437519,35.09757,"(35.09757, -98.437519)"
Ft. Gibson Tag Agency,316 East Benge Road,Ft Gibson,OK,74434,(918) 478-2132,,-95.238008,35.783852,"(35.783852, -95.238008)"
Garber Tag Agency,622 Highway Street,Garber,OK,73738,(580) 863-2299,,-97.573058,36.447859,"(36.447859, -97.573058)"
Geary Tag Agency,121 South Blaine,Geary,OK,73040,(405) 884-2778,,-98.319174,35.630756,"(35.630756, -98.319174)"
Glenpool Tag Agency,13809-I Casper Street,Glenpool,OK,74033,(918) 291-8247,(918) 291-9303,-96.011214,35.963172,"(35.963172, -96.011214)"
Goldsby Tag Agency,101 South Main Street,Goldsby,OK,73093,(405) 288-6965,,-97.476744,35.145729,"(35.145729, -97.476744)"
Max Strain Agency,120 South Main,Goodwell,OK,73939,(580) 349-1000,,-101.632241,36.59372,"(36.59372, -101.632241)"
Gore Tag Agency,206 South Main,Gore,OK,74435,(918) 489-5515,(918) 489-5175,-95.119143,35.527548,"(35.527548, -95.119143)"
Grandfield Tag Agency,215 South Main,Grandfield,OK,73546,(580) 479-5657,,-98.683248,34.230573,"(34.230573, -98.683248)"
Granite Tag Agency,104 East 1st,Granite,OK,73547,(580) 535-4848,,-99.38068,34.958163,"(34.958163, -99.38068)"
Grove Tag Agency,909 South Main,Grove,OK,74345,(918) 786-3435,(918) 786-1079,-94.769104,36.588068,"(36.588068, -94.769104)"
Guthrie Tag Office,2105 South Division,Guthrie,OK,73044,(405) 282-3873,,-97.425565,35.85744,"(35.85744, -97.425565)"
Texas County Tag Agency,114 North West 16th Street,Guymon,OK,73942,(580) 338-8631,(580) 338-3663,-101.482356,36.694418,"(36.694418, -101.482356)"
Corner Tag Agency,3400 South Harrah Road,Harrah,OK,73045,(405) 391-9800,,-97.159318,35.428763,"(35.428763, -97.159318)"
Harrah Tag Agency,1940 North Church Avenue,Harrah,OK,73045,(405) 454-6288,,-97.162097,35.48836,"(35.48836, -97.162097)"
Hartshorne Tag Agency,1101 Pennsylvania Avenue,Hartshorne,OK,74547,(918) 297-2181,,-95.553227,34.84426,"(34.84426, -95.553227)"
Haskell Tag Agency,105 South Broadway,Haskell,OK,74436,(918) 482-3448,,-95.674989,35.817845,"(35.817845, -95.674989)"
Healdton Tag Agency,316 Shell Street,Healdton,OK,73438,(580) 229-0114,,-97.486847,34.23186,"(34.23186, -97.486847)"
Heavener Tag Agency,103 East Avenue C,Heavener,OK,74937,(918) 653-2236,,-94.601869,34.889865,"(34.889865, -94.601869)"
Helena Tag Agency,101 East 3rd,Helena,OK,73741,(580) 852-3271,,-98.268531,36.535206,"(36.535206, -98.268531)"
Hennessey Tag Agency,401 North Main,Hennessey,OK,73742,(405) 853-6250,,-97.898755,36.111913,"(36.111913, -97.898755)"
Henryetta Tag Office,904 East Trudgeon,Henryetta,OK,74437,(918) 652-4313,,-95.972341,35.441055,"(35.441055, -95.972341)"
Hinton Tag Agency,101 East Main Street,Hinton,OK,73047,(405) 542-6070,,-98.358029,35.47144,"(35.47144, -98.358029)"
Hobart Tag Agency,407 South Main,Hobart,OK,73651,(580) 726-3333,,-99.093332,35.024319,"(35.024319, -99.093332)"
Holdenville Tag Agency,601 North Hinkley,Holdenville,OK,74848,(405) 379-3146,,-96.393924,35.083426,"(35.083426, -96.393924)"
Vanlandingham Agency,1216 East Broadway,Hollis,OK,73550,(580) 688-2589,,-99.904567,34.681904,"(34.681904, -99.904567)"
Hominy Tag Agency,113 West Main,Hominy,OK,74035,(918) 885-4724,,-96.39436,36.415719,"(36.415719, -96.39436)"
Hooker Tag Agency,201 East Glaydas,Hooker,OK,73945,(580) 652-3959,,-101.212052,36.860813,"(36.860813, -101.212052)"
Choctaw County Tag Agency,1605 East Jackson,Hugo,OK,74743,(580) 326-8247,,-95.492922,34.008439,"(34.008439, -95.492922)"
Hydro Tag Agency,221 West Main,Hydro,OK,73048,(405) 663-2300,Website:,-98.581301,35.549625,"(35.549625, -98.581301)"
Idabel Tag Agency,1403 East Washington,Idabel,OK,74745,(580) 208-2222,,-94.841898,33.89289,"(33.89289, -94.841898)"
Riggs Tag Agency,319-B North Broadway,Inola,OK,74036,(918) 543-3530,(918) 543-8433,-95.51206,36.157006,"(36.157006, -95.51206)"
Jay Tag Agency,129 North Main,Jay,OK,74346,(918) 253-8272,,-94.791004,36.423617,"(36.423617, -94.791004)"
Jenks Tag Agency,715 A West Main Street,Jenks,OK,74037,(918) 299-2120,,-95.962115,36.023862,"(36.023862, -95.962115)"
Jenks Tag Agency,715 A West Main Street,Jenks,OK,74037,(918) 299-2120,,-95.962115,36.023862,"(36.023862, -95.962115)"
Jones Tag Agency,104 West Main,Jones,OK,73049,(405) 399-9113,,-97.286505,35.565593,"(35.565593, -97.286505)"
Jones Tag Agency,104 West Main,Jones,OK,73049,(405) 399-9113,,-97.286505,35.565593,"(35.565593, -97.286505)"
Kansas Tag Agent,8089 United States Highway 412 Alternate,Kansas,OK,74347,(918) 868-3977,(918) 868-9216,-94.768177,36.206649,"(36.206649, -94.768177)"
Ketchum Tag Office,121 West Ketchum,Ketchum,OK,74349,(918) 782-3364,,-95.032749,36.52463,"(36.52463, -95.032749)"
Kingfisher Tag Agency,301 West Broadway,Kingfisher,OK,73750,(405) 375-3761,,-97.935395,35.860828,"(35.860828, -97.935395)"
KingstonTag Agency,206 Highway 70 West,Kingston,OK,73439,(580) 564-6500,,-96.691709,33.93962,"(33.93962, -96.691709)"
Konawa Tag Agency,300 South Broadway,Konawa,OK,74849,(580) 925-3283,,-96.75197,34.954664,"(34.954664, -96.75197)"
Kremlin Tag Agency,705 Main Street,Kremlin,OK,73753,(580) 874-2232,(580) 874-2244,-97.831696,36.54569,"(36.54569, -97.831696)"
Langley Tag Agency,"Highway 82 North, Grand Village Number 3",Langley,OK,74350,(918) 782-9009,,-95.047764,36.465784,"(36.465784, -95.047764)"
Laverne Tag Agency,129 West Jane Jayroe,Laverne,OK,73848,(580) 921-6000,,-99.904869,36.70962,"(36.70962, -99.904869)"
Comanche County Motor License Agency,902 South West 38th Street,Lawton,OK,73505,(580) 355-3810,(580) 355-5820,-98.439555,34.599459,"(34.599459, -98.439555)"
Lawton Fort Sill Tag Agency,29 South West D Avenue,Lawton,OK,73501,(580) 355-8247,,-98.3879,34.604224,"(34.604224, -98.3879)"
Medicine Park Tag Agency,11 Autumn Drive,Lawton,OK,73501,(580) 529-5298,,-98.367138,34.594374,"(34.594374, -98.367138)"
Motor Vehicle Tag Agency,1303 1/2 Lee Boulevard,Lawton,OK,73501,(580) 248-4565,,-98.40741,34.5945,"(34.5945, -98.40741)"
C & C Tag Agency,609 East Broadway,Lexington,OK,73051,(405) 527-4477,(405) 527-2470,-97.327558,35.014823,"(35.014823, -97.327558)"
Lindsay Tag Agency,125 South Main,Lindsay,OK,73052,(405) 756-4707,,-97.602582,34.836558,"(34.836558, -97.602582)"
Locust Grove Tag Agency,114 Harold Andrews Boulevard,Locust Grove,OK,74352,(918) 479-1800,,-95.168113,36.1999,"(36.1999, -95.168113)"
Lone Wolf Tag Agency,601 Rock Island,Lone Wolf,OK,73655,(580) 846-5262,,-99.247424,34.989565,"(34.989565, -99.247424)"
Luther Tag Agency,221 South Ash,Luther,OK,73054,(405) 277-3294,(405) 277-3295,-97.194797,35.66089,"(35.66089, -97.194797)"
Macomb Tag Agency,36551 2nd Street,Macomb,OK,74852,(405) 598-0545,,-97.008454,35.146255,"(35.146255, -97.008454)"
Madill Tag Agency,207 Plaza,Madill,OK,73446,(580) 795-5342,,-96.761357,34.072712,"(34.072712, -96.761357)"
Mangum Tag Agency,127 South Oklahoma Avenue,Mangum,OK,73554,(580) 782-3004,,-99.506194,34.87328,"(34.87328, -99.506194)"
Mannford Tag Agency,124 Evans Road,Mannford,OK,74044,(918) 865-4418,,-96.351536,36.121666,"(36.121666, -96.351536)"
Topco,112 West Main,Marietta,OK,73448,(580) 276-2101,,-97.117088,33.937312,"(33.937312, -97.117088)"
Marlow Tag Agency,1202 North Broadway,Marlow,OK,73055,(580) 658-3190,,-97.957906,34.66116,"(34.66116, -97.957906)"
Tag Agency,Main and Oak,Maysville,OK,73057,(405) 867-5695,,-97.409569,34.8179,"(34.8179, -97.409569)"
McAlester Tag Office,1208 North Main,McAlester,OK,74502,(918) 423-5455,(918) 423-9132,-95.765619,34.944213,"(34.944213, -95.765619)"
McLoud Tag Agency,503 West Broadway,McLoud,OK,74851,(405) 964-7700,,-97.093355,35.436137,"(35.436137, -97.093355)"
Grant County Tag Agency,112 North Main,Medford,OK,73759,(580) 395-2139,,-97.734863,36.807125,"(36.807125, -97.734863)"
Meeker Tag Agency,700 West Carl Hubbell,Meeker,OK,74855,(405) 279-2021,,-96.973917,35.521136,"(35.521136, -96.973917)"
Ottawa County Tag Agency,20 First Avenue North East,Miami,OK,74354,(918) 542-7006,(918) 542-7774,-94.877253,36.876032,"(36.876032, -94.877253)"
